Sl No,File name,Github Link,Hoisted Link,Comment ID,Comment Text
1,libpng_mem,https://github.com/glennrp/libpng/blob/libpng16/pngmem.c,https://smartkt.github.io/commentsSurvey/libpng_pngmem.html,libpng_pngmem:comment1,"
/* pngmem.c - stub functions for memory allocation of libpng -- raster-graphics file-format 
Comment 1
 */ 
 "
2,libpng_mem,https://github.com/glennrp/libpng/blob/libpng16/pngmem.c,https://smartkt.github.io/commentsSurvey/libpng_pngmem.html,libpng_pngmem:comment2," /* This file provides a location for all memory allocation.  Users who 
 * need special memory handling are expected to supply replacement 
 * functions for png_malloc() and png_free(), and to use 
Comment 2
 * png_create_read_struct_2() and png_create_write_struct_2() to 
 * identify the replacement functions. 
 */"
3,libpng_mem,https://github.com/glennrp/libpng/blob/libpng16/pngmem.c,https://smartkt.github.io/commentsSurvey/libpng_pngmem.html,libpng_pngmem:comment3,"/* png_destroy_png_struct calls png_free  
which  might call png_error and may certainly call 
Comment 3
       * png_get_mem_ptr, so fake a temporary png_struct to support this. 
       */ 
void  png_destroy_png_struct(png_structrp png_ptr) "
4,libpng_mem,https://github.com/glennrp/libpng/blob/libpng16/pngmem.c,https://smartkt.github.io/commentsSurvey/libpng_pngmem.html,libpng_pngmem:comment4,"#     ifdef PNG_SETJMP_SUPPORTED 
         /* We may have a jmp_buf left to deallocate. */ 
Comment 4
         png_free_jmpbuf(&dummy_struct); 
#     endif"
5,libpng_mem,https://github.com/glennrp/libpng/blob/libpng16/pngmem.c,https://smartkt.github.io/commentsSurvey/libpng_pngmem.html,libpng_pngmem:comment5,"/* Allocate memory.  For reasonable files, size should never exceed 
 * 64K.  However, zlib may allocate more than 64K if you don't tell 
 * it not to.  See zconf.h and png.h for more information.  zlib does 
Comment 5
 * need to allocate exactly 64K, so whatever you call here must 
 * have the ability to do that. 
 */ "
6,libpng_mem,https://github.com/glennrp/libpng/blob/libpng16/pngmem.c,https://smartkt.github.io/commentsSurvey/libpng_pngmem.html,libpng_pngmem:comment6,"/* uses png_calloc defined in pngriv.h*/ 
Comment 6
PNG_FUNCTION(png_voidp,PNGAPI "
7,libpng_mem,https://github.com/glennrp/libpng/blob/libpng16/pngmem.c,https://smartkt.github.io/commentsSurvey/libpng_pngmem.html,libpng_pngmem:comment7,"/* Introduced in libpng 1.6.0, commit 0e13545. This is really here only to work round a spurious warning in GCC 4.6 and 4.7 
 * that arises because of the checks in png_realloc_array that are repeated in 
Comment 7
 * png_malloc_array, issue #289. 
 */ "
8,libpng_mem,https://github.com/glennrp/libpng/blob/libpng16/pngmem.c,https://smartkt.github.io/commentsSurvey/libpng_pngmem.html,libpng_pngmem:comment8,png_alloc_size_t req = (png_alloc_size_t)nelements; /* known to be > 0 */ 
9,libpng_mem,https://github.com/glennrp/libpng/blob/libpng16/pngmem.c,https://smartkt.github.io/commentsSurvey/libpng_pngmem.html,libpng_pngmem:comment9,"/* Check for overflow on the elements count (so the caller does not have to 
    * check.) png_malloc_array has been worked with the size calculations to avoid 
Comment 9
          * overflow. 
    */ "
10,libpng_mem,https://github.com/glennrp/libpng/blob/libpng16/pngmem.c,https://smartkt.github.io/commentsSurvey/libpng_pngmem.html,libpng_pngmem:comment10," /* These are internal errors: */ 
Comment 10
   if (add_elements <= 0 || element_size == 0 || old_elements < 0 || "
11,libpng_mem,https://github.com/glennrp/libpng/blob/libpng16/pngmem.c,https://smartkt.github.io/commentsSurvey/libpng_pngmem.html,libpng_pngmem:comment11,#endif /* TEXT || sPLT || STORE_UNKNOWN_CHUNKS */ 
12,libpng_mem,https://github.com/glennrp/libpng/blob/libpng16/pngmem.c,https://smartkt.github.io/commentsSurvey/libpng_pngmem.html,libpng_pngmem:comment12,"/* Free a pointer allocated by png_malloc().  If ptr is NULL, return 
Comment 12 (LAST)
 * without taking any action. 
 */ 
void PNGAPI 
png_free(png_const_structrp png_ptr, png_voidp ptr)"
14,server_terminal,https://smartkt.github.io/commentsSurvey/server_terminal.html,https://github.com/MariaDB/server/blob/10.5/extra/readline/terminal.c,server_terminal:comment1,/* terminal.c -- controlling the terminal with termcap. */ 
15,server_terminal,https://smartkt.github.io/commentsSurvey/server_terminal.html,https://github.com/MariaDB/server/blob/10.5/extra/readline/terminal.c,server_terminal:comment2,/* Copyright (C) 1996-2006 Free Software Foundation */ 
16,server_terminal,https://smartkt.github.io/commentsSurvey/server_terminal.html,https://github.com/MariaDB/server/blob/10.5/extra/readline/terminal.c,server_terminal:comment3,"/* part of Readline library provides a set of functions for use by applications 
that allow users to edit command lines as they are typed in. 
These functions are basic functions are based on conditional processing of regular expressions.  
Comment 3
Uses functions and data types defined in readine and keyboard header files.  
Produces types which are used in  MariaDBbackup source files */"
17,server_terminal,https://smartkt.github.io/commentsSurvey/server_terminal.html,https://github.com/MariaDB/server/blob/10.5/extra/readline/terminal.c,server_terminal:comment4,"/* To build the library, try typing `./configure', then `make'.. 
If `configure' is given the `--enable-shared' option, it will attempt 
Comment 4
to build the shared libraries by default on supported platforms.  Requires Linux distribution with gcc*/"
18,server_terminal,https://smartkt.github.io/commentsSurvey/server_terminal.html,https://github.com/MariaDB/server/blob/10.5/extra/readline/terminal.c,server_terminal:comment5,/* tty driver-related definitions / types like  
