"#comment tokens","#prog. conc","#prob. conc","descriptive","operative","conditional","#scope_symbols","#scope_functions","scope_compound_statement1s","scope_param","scope_line_numbers","prog_dom_match_identifiers","prob_dom_match_identifiers","copyright_license_comments","libraries"
42,2,0,9.2,2.8,0,0.30000000000000004,0.1,0.1,0.1,1722,36,0,1,1
9,0,0,1.0,1.0,0,0.30000000000000004,0.1,0.1,0.1,10,0,0,0,0
3,0,0,0.9,0.1,1,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,1
20,1,0,1.0,1.0,0,0.30000000000000004,0.1,0.1,0.1,10,0,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,4,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
159,28,0,21.5,9.5,2,0.30000000000000004,0.1,0.1,0.1,58,2,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
19,6,0,2.8000000000000003,1.2000000000000002,1,0.30000000000000004,0.1,0.1,0.1,8,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
7,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,4,0,0,0,0
5,1,0,0.1,0.9,1,0.30000000000000004,0.1,0.1,0.1,9,0,0,0,0
10,2,0,0.2,1.8,0,0.30000000000000004,0.1,0.1,0.1,11,0,0,0,0
6,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,4,0,0,0,0
14,1,0,1.8,0.2,0,0.30000000000000004,0.1,0.1,0.1,3,0,0,0,0
6,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,2,0,0,0,0
6,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,9,0,0,0,0
7,0,0,0.0,0.0,0,0.30000000000000004,0.1,0.1,0.1,9,0,0,0,0
26,6,0,2.0,2.0,0,0.30000000000000004,0.1,0.1,0.1,13,0,0,0,0
6,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,9,0,0,0,0
13,2,0,1.0,1.0,0,0.30000000000000004,0.1,0.1,0.1,11,0,0,0,0
4,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,9,0,0,0,0
7,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,3,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
20,2,0,2.0,2.0,0,0.30000000000000004,0.1,0.1,0.1,5,0,0,0,0
5,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,4,0,0,0,0
32,4,0,2.8000000000000003,1.2000000000000002,0,0.30000000000000004,0.1,0.1,0.1,7,0,0,0,0
10,0,0,1.0,1.0,0,0.30000000000000004,0.1,0.1,0.1,6,0,0,0,0
22,4,0,1.9000000000000001,1.1,2,0.30000000000000004,0.1,0.1,0.1,5,0,0,0,0
11,0,0,1.0,1.0,0,0.30000000000000004,0.1,0.1,0.1,6,0,0,0,0
4,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,7,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
5,0,0,1.9000000000000001,1.1,0,0.30000000000000004,0.1,0.1,0.1,8,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
5,2,0,0.1,0.9,1,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
3,1,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
