F2	FILES
"pngimage.c
 *
 * Copyright (c) 2021 Cosmin Truta
 * Copyright (c) 2015,2016 John Cunningham Bowler
 *
 * This code is released under the libpng license.
 * For conditions of distribution and use, see the disclaimer
 * and license in png.h
 *
 * Test the png_read_png and png_write_png interfaces.  Given a PNG file load it
 * using png_read_png and then write with png_write_png.  Test all possible
 * transforms."	libpng/contrib/libtests/pngimage.c/pngimage.c
"Define the following to use this test against your installed libpng, rather
 * than the one being built here:"	libpng/contrib/libtests/pngimage.c/pngimage.c
because png.h did *not* include this	libpng/contrib/libtests/pngimage.c/pngimage.c
"1.6.1 added support for the configure test harness, which uses 77 to indicate
 * a skipped test, in earlier versions we need to succeed on a skipped test, so:"	libpng/contrib/libtests/pngimage.c/pngimage.c
READ_PNG and WRITE_PNG were not defined, so:	libpng/contrib/libtests/pngimage.c/pngimage.c
SEQUENTIAL_READ	libpng/contrib/libtests/pngimage.c/pngimage.c
WRITE	libpng/contrib/libtests/pngimage.c/pngimage.c
INFO_IMAGE	libpng/contrib/libtests/pngimage.c/pngimage.c
pre 1.7.0	libpng/contrib/libtests/pngimage.c/pngimage.c
"If a transform is valid on both read and write this implies that if the
 * transform is applied to read it must also be applied on write to produce
 * meaningful data.  This is because these transforms when performed on read
 * produce data with a memory format that does not correspond to a PNG format.
 *
 * Most of these transforms are invertible; after applying the transform on
 * write the result is the original PNG data that would have would have been
 * read if no transform were applied.
 *
 * The exception is _SHIFT, which destroys the low order bits marked as not
 * significant in a PNG with the sBIT chunk.
 *
 * The following table lists, for each transform, the conditions under which it
 * is expected to do anything.  Conditions are defined as follows:
 *
 * 1) Color mask bits required - simply a mask to AND with color_type; one of
 *    these must be present for the transform to fire, except that 0 means
 *    'always'.
 * 2) Color mask bits which must be absent - another mask - none of these must
 *    be present.
 * 3) Bit depths - a mask of component bit depths for the transform to fire.
 * 4) 'read' - the transform works in png_read_png.
 * 5) 'write' - the transform works in png_write_png.
 * 6) PNG_INFO_chunk; a mask of the chunks that must be present for the
 *    transform to fire.  All must be present - the requirement is that
 *    png_get_valid() & mask == mask, so if mask is 0 there is no requirement.
 *
 * The condition refers to the original image state - if multiple transforms are
 * used together it is possible to cause a transform that wouldn't fire on the
 * original image to fire."	libpng/contrib/libtests/pngimage.c/pngimage.c
absent = gray, no alpha	libpng/contrib/libtests/pngimage.c/pngimage.c
i.e. true-color depths	libpng/contrib/libtests/pngimage.c/pngimage.c
the transform was tested somewhere	libpng/contrib/libtests/pngimage.c/pngimage.c
"List ALL the PNG_TRANSFORM_ macros here.  Check for support using the READ
    * macros; even if the transform is supported on write it cannot be tested
    * without the read support."	libpng/contrib/libtests/pngimage.c/pngimage.c
!tested	libpng/contrib/libtests/pngimage.c/pngimage.c
drops the bottom 8 bits when bit depth is 16	libpng/contrib/libtests/pngimage.c/pngimage.c
removes the alpha channel if present	libpng/contrib/libtests/pngimage.c/pngimage.c
"unpacks low-bit-depth components into 1 byte per component on read,
       * reverses this on write."	libpng/contrib/libtests/pngimage.c/pngimage.c
reverses the order of low-bit-depth components packed into a byte	libpng/contrib/libtests/pngimage.c/pngimage.c
"expands PLTE PNG files to RGB (no tRNS) or RGBA (tRNS) *
       * Note that the 'EXPAND' transform does lots of different things:"	libpng/contrib/libtests/pngimage.c/pngimage.c
expands grayscale PNG files to RGB, or RGBA	libpng/contrib/libtests/pngimage.c/pngimage.c
expands the tRNS chunk in files without alpha	libpng/contrib/libtests/pngimage.c/pngimage.c
converts gray-scale components to 1..0 from 0..1	libpng/contrib/libtests/pngimage.c/pngimage.c
"reduces component values to the original range based on the sBIT chunk,
       * this is only partially reversible - the low bits are lost and cannot be
       * recovered on write.  In fact write code replicates the bits to generate
       * new low-order bits."	libpng/contrib/libtests/pngimage.c/pngimage.c
reverses the rgb component values of true-color pixels	libpng/contrib/libtests/pngimage.c/pngimage.c
"swaps the alpha channel of RGBA or GA pixels to the front - ARGB or
       * AG, on write reverses the process."	libpng/contrib/libtests/pngimage.c/pngimage.c
byte-swaps 16-bit component values	libpng/contrib/libtests/pngimage.c/pngimage.c
converts an alpha channel from 0..1 to 1..0	libpng/contrib/libtests/pngimage.c/pngimage.c
'A' for a filler!	libpng/contrib/libtests/pngimage.c/pngimage.c
"on write skips a leading filler channel; testing requires data with a
       * filler channel so this is produced from RGBA or GA images by removing
       * the 'alpha' flag from the color type in place."	libpng/contrib/libtests/pngimage.c/pngimage.c
on write strips a trailing filler channel	libpng/contrib/libtests/pngimage.c/pngimage.c
"expands grayscale images to RGB, also causes the palette part of
       * 'EXPAND' to happen.  Low bit depth grayscale images are expanded to
       * 8-bits per component and no attempt is made to convert the image to a
       * palette image.  While this transform is partially reversible
       * png_write_png does not currently support this."	libpng/contrib/libtests/pngimage.c/pngimage.c
"The 'palette' side effect mentioned above; a bit bogus but this is the
       * way the libpng code works."	libpng/contrib/libtests/pngimage.c/pngimage.c
"expands images to 16-bits per component, as a side effect expands
       * palette images to RGB and expands the tRNS chunk if present, so it can
       * modify 16-bit per component images as well:"	libpng/contrib/libtests/pngimage.c/pngimage.c
"side effect of EXPAND_16 - expands the tRNS chunk in an RGB or G 16-bit
       * image."	libpng/contrib/libtests/pngimage.c/pngimage.c
scales 16-bit components to 8-bits.	libpng/contrib/libtests/pngimage.c/pngimage.c
name	libpng/contrib/libtests/pngimage.c/pngimage.c
!tested	libpng/contrib/libtests/pngimage.c/pngimage.c
"Some combinations of options that should be reversible are not; these cases
 * are bugs."	libpng/contrib/libtests/pngimage.c/pngimage.c
problem, antidote	libpng/contrib/libtests/pngimage.c/pngimage.c
antidote	libpng/contrib/libtests/pngimage.c/pngimage.c
non-zero if more than one set bit	libpng/contrib/libtests/pngimage.c/pngimage.c
lowest set bit	libpng/contrib/libtests/pngimage.c/pngimage.c
combo is ok	libpng/contrib/libtests/pngimage.c/pngimage.c
"The name, if 't' has multiple bits set the name of the lowest set bit is
    * returned."	libpng/contrib/libtests/pngimage.c/pngimage.c
first set bit	libpng/contrib/libtests/pngimage.c/pngimage.c
"Variables calculated by validate_T below and used to record all the supported
 * transforms.  Need (unsigned int) here because of the places where these
 * values are used (unsigned compares in the 'exhaustive' iterator.)"	libpng/contrib/libtests/pngimage.c/pngimage.c
Validate the above table - this just builds the above values	libpng/contrib/libtests/pngimage.c/pngimage.c
"Reversible transforms are those which are supported on both read and
    * write."	libpng/contrib/libtests/pngimage.c/pngimage.c
"FILE DATA HANDLING
 *    The original file is cached in memory.  During write the output file is
 *    written to memory.
 *
 *    In both cases the file data is held in a linked list of buffers - not all
 *    of these are in use at any time."	libpng/contrib/libtests/pngimage.c/pngimage.c
next buffer in list	libpng/contrib/libtests/pngimage.c/pngimage.c
the actual buffer	libpng/contrib/libtests/pngimage.c/pngimage.c
last buffer in use	libpng/contrib/libtests/pngimage.c/pngimage.c
bytes in the last buffer	libpng/contrib/libtests/pngimage.c/pngimage.c
current buffer being read	libpng/contrib/libtests/pngimage.c/pngimage.c
count of bytes read from current	libpng/contrib/libtests/pngimage.c/pngimage.c
the very first buffer	libpng/contrib/libtests/pngimage.c/pngimage.c
Call this only once for a given buffer	libpng/contrib/libtests/pngimage.c/pngimage.c
required by POSIX 1003.1	libpng/contrib/libtests/pngimage.c/pngimage.c
required by ANSI-C	libpng/contrib/libtests/pngimage.c/pngimage.c
