F2	FILES
"Define the following to use this test against your installed libpng, rather
 * than the one being built here:"	repos/libpng-code/contrib/libtests/pngimage.c
because png.h did *not* include this	repos/libpng-code/contrib/libtests/pngimage.c
"1.6.1 added support for the configure test harness, which uses 77 to indicate
 * a skipped test, in earlier versions we need to succeed on a skipped test, so:"	repos/libpng-code/contrib/libtests/pngimage.c
READ_PNG and WRITE_PNG were not defined, so:	repos/libpng-code/contrib/libtests/pngimage.c
SEQUENTIAL_READ	repos/libpng-code/contrib/libtests/pngimage.c
WRITE	repos/libpng-code/contrib/libtests/pngimage.c
INFO_IMAGE	repos/libpng-code/contrib/libtests/pngimage.c
pre 1.7.0	repos/libpng-code/contrib/libtests/pngimage.c
"If a transform is valid on both read and write this implies that if the
 * transform is applied to read it must also be applied on write to produce
 * meaningful data.  This is because these transforms when performed on read
 * produce data with a memory format that does not correspond to a PNG format.
 *
 * Most of these transforms are invertible; after applying the transform on
 * write the result is the original PNG data that would have would have been
 * read if no transform were applied.
 *
 * The exception is _SHIFT, which destroys the low order bits marked as not
 * significant in a PNG with the sBIT chunk.
 *
 * The following table lists, for each transform, the conditions under which it
 * is expected to do anything.  Conditions are defined as follows:
 *
 * 1) Color mask bits required - simply a mask to AND with color_type; one of
 *    these must be present for the transform to fire, except that 0 means
 *    'always'.
 * 2) Color mask bits which must be absent - another mask - none of these must
 *    be present.
 * 3) Bit depths - a mask of component bit depths for the transform to fire.
 * 4) 'read' - the transform works in png_read_png.
 * 5) 'write' - the transform works in png_write_png.
 * 6) PNG_INFO_chunk; a mask of the chunks that must be present for the
 *    transform to fire.  All must be present - the requirement is that
 *    png_get_valid() & mask == mask, so if mask is 0 there is no requirement.
 *
 * The condition refers to the original image state - if multiple transforms are
 * used together it is possible to cause a transform that wouldn't fire on the
 * original image to fire."	repos/libpng-code/contrib/libtests/pngimage.c
absent = gray, no alpha	repos/libpng-code/contrib/libtests/pngimage.c
i.e. true-color depths	repos/libpng-code/contrib/libtests/pngimage.c
the transform was tested somewhere	repos/libpng-code/contrib/libtests/pngimage.c
"List ALL the PNG_TRANSFORM_ macros here.  Check for support using the READ
    * macros; even if the transform is supported on write it cannot be tested
    * without the read support."	repos/libpng-code/contrib/libtests/pngimage.c
!tested	repos/libpng-code/contrib/libtests/pngimage.c
drops the bottom 8 bits when bit depth is 16	repos/libpng-code/contrib/libtests/pngimage.c
removes the alpha channel if present	repos/libpng-code/contrib/libtests/pngimage.c
"unpacks low-bit-depth components into 1 byte per component on read,
       * reverses this on write."	repos/libpng-code/contrib/libtests/pngimage.c
reverses the order of low-bit-depth components packed into a byte	repos/libpng-code/contrib/libtests/pngimage.c
"expands PLTE PNG files to RGB (no tRNS) or RGBA (tRNS) *
       * Note that the 'EXPAND' transform does lots of different things:"	repos/libpng-code/contrib/libtests/pngimage.c
expands grayscale PNG files to RGB, or RGBA	repos/libpng-code/contrib/libtests/pngimage.c
expands the tRNS chunk in files without alpha	repos/libpng-code/contrib/libtests/pngimage.c
converts gray-scale components to 1..0 from 0..1	repos/libpng-code/contrib/libtests/pngimage.c
"reduces component values to the original range based on the sBIT chunk,
       * this is only partially reversible - the low bits are lost and cannot be
       * recovered on write.  In fact write code replicates the bits to generate
       * new low-order bits."	repos/libpng-code/contrib/libtests/pngimage.c
reverses the rgb component values of true-color pixels	repos/libpng-code/contrib/libtests/pngimage.c
"swaps the alpha channel of RGBA or GA pixels to the front - ARGB or
       * AG, on write reverses the process."	repos/libpng-code/contrib/libtests/pngimage.c
byte-swaps 16-bit component values	repos/libpng-code/contrib/libtests/pngimage.c
converts an alpha channel from 0..1 to 1..0	repos/libpng-code/contrib/libtests/pngimage.c
'A' for a filler!	repos/libpng-code/contrib/libtests/pngimage.c
"on write skips a leading filler channel; testing requires data with a
       * filler channel so this is produced from RGBA or GA images by removing
       * the 'alpha' flag from the color type in place."	repos/libpng-code/contrib/libtests/pngimage.c
on write strips a trailing filler channel	repos/libpng-code/contrib/libtests/pngimage.c
"expands grayscale images to RGB, also causes the palette part of
       * 'EXPAND' to happen.  Low bit depth grayscale images are expanded to
       * 8-bits per component and no attempt is made to convert the image to a
       * palette image.  While this transform is partially reversible
       * png_write_png does not currently support this."	repos/libpng-code/contrib/libtests/pngimage.c
"The 'palette' side effect mentioned above; a bit bogus but this is the
       * way the libpng code works."	repos/libpng-code/contrib/libtests/pngimage.c
"expands images to 16-bits per component, as a side effect expands
       * palette images to RGB and expands the tRNS chunk if present, so it can
       * modify 16-bit per component images as well:"	repos/libpng-code/contrib/libtests/pngimage.c
"side effect of EXPAND_16 - expands the tRNS chunk in an RGB or G 16-bit
       * image."	repos/libpng-code/contrib/libtests/pngimage.c
scales 16-bit components to 8-bits.	repos/libpng-code/contrib/libtests/pngimage.c
name	repos/libpng-code/contrib/libtests/pngimage.c
!tested	repos/libpng-code/contrib/libtests/pngimage.c
"Some combinations of options that should be reversible are not; these cases
 * are bugs."	repos/libpng-code/contrib/libtests/pngimage.c
problem, antidote	repos/libpng-code/contrib/libtests/pngimage.c
antidote	repos/libpng-code/contrib/libtests/pngimage.c
non-zero if more than one set bit	repos/libpng-code/contrib/libtests/pngimage.c
lowest set bit	repos/libpng-code/contrib/libtests/pngimage.c
combo is ok	repos/libpng-code/contrib/libtests/pngimage.c
"The name, if 't' has multiple bits set the name of the lowest set bit is
    * returned."	repos/libpng-code/contrib/libtests/pngimage.c
first set bit	repos/libpng-code/contrib/libtests/pngimage.c
"Variables calculated by validate_T below and used to record all the supported
 * transforms.  Need (unsigned int) here because of the places where these
 * values are used (unsigned compares in the 'exhaustive' iterator.)"	repos/libpng-code/contrib/libtests/pngimage.c
Validate the above table - this just builds the above values	repos/libpng-code/contrib/libtests/pngimage.c
"Reversible transforms are those which are supported on both read and
    * write."	repos/libpng-code/contrib/libtests/pngimage.c
"FILE DATA HANDLING
 *    The original file is cached in memory.  During write the output file is
 *    written to memory.
 *
 *    In both cases the file data is held in a linked list of buffers - not all
 *    of these are in use at any time."	repos/libpng-code/contrib/libtests/pngimage.c
next buffer in list	repos/libpng-code/contrib/libtests/pngimage.c
the actual buffer	repos/libpng-code/contrib/libtests/pngimage.c
last buffer in use	repos/libpng-code/contrib/libtests/pngimage.c
bytes in the last buffer	repos/libpng-code/contrib/libtests/pngimage.c
current buffer being read	repos/libpng-code/contrib/libtests/pngimage.c
count of bytes read from current	repos/libpng-code/contrib/libtests/pngimage.c
the very first buffer	repos/libpng-code/contrib/libtests/pngimage.c
Call this only once for a given buffer	repos/libpng-code/contrib/libtests/pngimage.c
required by POSIX 1003.1	repos/libpng-code/contrib/libtests/pngimage.c
required by ANSI-C	repos/libpng-code/contrib/libtests/pngimage.c
Used from libpng callbacks to get the current buffer	repos/libpng-code/contrib/libtests/pngimage.c
"Load a buffer from a file; does the equivalent of buffer_start_write.  On a
 * read error returns an errno value, else returns 0."	repos/libpng-code/contrib/libtests/pngimage.c
size	repos/libpng-code/contrib/libtests/pngimage.c
fread failed - probably end of file	repos/libpng-code/contrib/libtests/pngimage.c
no error	repos/libpng-code/contrib/libtests/pngimage.c
Some kind of funky error; errno should be non-zero	repos/libpng-code/contrib/libtests/pngimage.c
This structure is used to control the test of a single file.	repos/libpng-code/contrib/libtests/pngimage.c
switches on all messages	repos/libpng-code/contrib/libtests/pngimage.c
switches on warnings	repos/libpng-code/contrib/libtests/pngimage.c
just errors	repos/libpng-code/contrib/libtests/pngimage.c
continuable error - no need to longjmp	repos/libpng-code/contrib/libtests/pngimage.c
this and higher cause a longjmp	repos/libpng-code/contrib/libtests/pngimage.c
erroneous behavior in libpng	repos/libpng-code/contrib/libtests/pngimage.c
such as out-of-memory in a callback	repos/libpng-code/contrib/libtests/pngimage.c
no normal messages	repos/libpng-code/contrib/libtests/pngimage.c
such as file-not-found	repos/libpng-code/contrib/libtests/pngimage.c
where the level is in 'options'	repos/libpng-code/contrib/libtests/pngimage.c
Test all combinations of active options	repos/libpng-code/contrib/libtests/pngimage.c
Fail on warnings as well as errors	repos/libpng-code/contrib/libtests/pngimage.c
Log pass/fail to stdout	repos/libpng-code/contrib/libtests/pngimage.c
Continue on APP_FAIL errors	repos/libpng-code/contrib/libtests/pngimage.c
Skip over known bugs	repos/libpng-code/contrib/libtests/pngimage.c
