Id,Filename,Text
4171,pngvalid.c,Three functions to end the list:
3549,pngvalid.c,reading
1583,pngrtran.c,skip low byte
4202,pngvalid.c,appropriate include action fake
4078,pngvalid.c,loop correct rows after
3391,pngunknown.c,find happened behavior determine checks known correct sanity
3934,pngvalid.c,loop exist wpass case fact contribute notice conditions
789,pngread.c,8-bit
4185,pngvalid.c,local_use
1309,pngrutil.c,PRIVATE
3569,pngvalid.c,alignment ensures changes rows starts sized adequate odd lay
3872,pngvalid.c,overflow
674,pngread.c,This is set if the color isn't gray but the output is.
4693,pngvalid.c,gamma:
3728,pngvalid.c,tests run sized readwrite odd
4114,pngvalid.c,waste compared moment
514,pngtrans.c,switch stop below expression calculation forms outside produced avoids warnings becomes calculations within moved bits compiler attempt
1846,png.c,chars
610,pngread.c,sequential_read
3062,pngstest.c,cleans allocated delete
3589,pngvalid.c,eof
3320,pngunknown.c,deprecated
5154,pngfix.c,before
2510,pngwrite.c,required todo delay avoiding
1164,pngrutil.c,benign clean
2001,png.c,fail
1126,pngrutil.c,validate
4064,pngvalid.c,validate variant produces reading
1480,pngrtran.c,If no alpha we can optimize.
4117,pngvalid.c,representation forms pngvalid
288,pngtest.c,compilation stdio validate code
301,pngtest.c,handler calls case
4401,pngvalid.c,png_set_swap_alpha
1546,pngrtran.c,pngh macro png_composite
1775,png.c,internal libpng error
3684,pngvalid.c,variety spectra recognizes representing response light unique standard produce observer description cie tristimulus
2649,pngwrite.c,blue
2374,pngerror.c,following png_max_error_text
4016,pngvalid.c,flag value
1405,pngrtran.c,premultiplied
394,pngtest.c,building library show
4931,pngfix.c,chunkchunk_type codes help type_name finding bits note considers a-za-z validated code fact errors programming
2839,pngimage.c,cases linked handling cached held during buffers
1750,png.c,building files
4973,pngfix.c,ancestors
1495,pngrtran.c,has been set
2722,pngget.c,IO_STATE
2052,png.c,leading required adjust zeros trailing decimal
480,pngtrans.c,swaps within order packing
4962,pngfix.c,stop given ihdr image_bytes calls information
2720,pngget.c,set_user_limits
2209,png.c,simplified readwrite
4338,pngvalid.c,round
1762,png.c,read_unknown_chunks handle_as_unknown
4824,pngfix.c,xor bit-20 bits top bottom thirty bit-33
1432,pngrtran.c,allocated checking mean eliminating risk numbers guess run areas wild farthest saving pair
1055,pngrutil.c,invalidate ignored consistent alternative handling tests
2240,pngset.c,iTXt
852,pngread.c,pre-multiplication
803,pngread.c,alpha05 because split alpha025 processing hold
3454,pngvalid.c,read_filler read_rgb_to_gray
1939,png.c,the value for 0 length data
580,pngread.c,destruction note required callbacks setjmp allocated
4946,pngfix.c,interrupted
5083,pngfix.c,unset
1252,pngrutil.c,memcpy
3086,pngstest.c,components
187,pngwutil.c,Set up row buffer
3474,pngvalid.c,png_read_transforms_supported
1215,pngrutil.c,sparkle following fit compiler work expanded logic loop arranged code generation compile defines case release solution packswap macros using masking copied shift-32 requires evaluated account depends expression appropriate avoid swapped above within order compilers destabilizing calling masks note rows warnings reversed microsoft possibility block understands taken though side copy depths produces bits require with known versions intel
2997,pngimage.c,relevant known involving cases combos
1716,png.c,creating sets way returns api handling after examplec info_struct
2958,pngimage.c,for y
3990,pngvalid.c,bits
1580,pngrtran.c,source
4505,pngvalid.c,alpha channel
4239,pngvalid.c,standard share implementation
20,pngwutil.c,api above calls
1081,pngrutil.c,else png_icc_check_length output an error
2975,pngimage.c,don't skip
1754,png.c,note
5266,pngfix.c,takes precedence
1585,pngrtran.c,converts
1995,png.c,png_fp_end goto png_fp_exponext case png_fp_saw_e
4947,pngfix.c,matter gets recorded
2417,pngerror.c,PRIVATE
2462,pngwrite.c,todo review
1926,png.c,microsoft violates shipped alignment care windows cnhp730sicc
2721,pngget.c,added
2363,pngerror.c,above character that copy known
5223,pngfix.c,forces header
1223,pngrutil.c,masks packswap
1106,pngrutil.c,PRIVATE
1376,pngrtran.c,action
4125,pngvalid.c,"Alpha at start, not end"
4367,pngvalid.c,remove quantization added encoded work bounds
4578,pngvalid.c,grayscale
1455,pngrtran.c,png_ptr->transformations ~png_rgb_to_gray
4285,pngvalid.c,png_set_expand_16
1290,pngrutil.c,side
4319,pngvalid.c,adds computations 8-bit lookup conversion resulting -165535 case -1<<15-png_max_gamma_8
3285,pngstest.c,exist
1833,png.c,changed
1994,png.c,png_fp_end goto png_fp_exponent png_fp_saw_dot case
1251,pngrutil.c,narrow dont panel alignment ones memcpy copy attempt
1325,pngrutil.c,direction block
5235,pngfix.c,And skip 12 bytes to the next chunk data
700,pngread.c,based deals utility color-map decide code produce aspects works
3448,pngvalid.c,bits generate
1747,png.c,silence compiler
4977,pngfix.c,position
2752,pngpread.c,proceeding failure
3529,pngvalid.c,position
1877,png.c,PRIVATE
1066,pngrutil.c,header
1457,pngrtran.c,defaults provided something srgbhdtvitu-rec case marked coefficients see discussion overwritten
3092,pngstest.c,components glin
3781,pngvalid.c,settings specified corresponds counter encoding_counter
3096,pngstest.c,components
4857,pngfix.c,everything
5045,pngfix.c,correct see whether contained
4790,pngfix.c,types known constants
908,pngread.c,issues overflow occur deals performed reading
3357,pngunknown.c,save_unknown_chunks
1188,pngrutil.c,no limit
4303,pngvalid.c,uses tests calculation retained along truncation path inside compatibility png_set_rgb_to_gray_fixedpng_structp known versions png_set_rgb_to_graypng_structp algorithm code accuracy err_action broken fail fast-and-inaccurate
1642,pngrtran.c,destination
1437,pngrtran.c,reserve libpng-154
3492,pngvalid.c,reverse order note stored
4007,pngvalid.c,returns colour non-palette store_palette transparency utility case
3094,pngstest.c,gpre gpr
2952,pngimage.c,replicate
4439,pngvalid.c,RGB channels
4108,pngvalid.c,Test both together:
980,pngrutil.c,null reset remaining_space round
1039,pngrutil.c,validity checked inserted alternative appear benign since returns attempts cancels detected condition ignore maintainers amend standard standards follow code apparent plte
3437,pngvalid.c,elements avoid returns checks versions inability compile-time passed performing macro
3148,pngstest.c,required
1175,pngrutil.c,png_handle_chunk_if_safe
1278,pngrutil.c,candidate predictor
5007,pngfix.c,case
4491,pngvalid.c,put
4624,pngvalid.c,math tends unique match handling tests
551,pngread.c,display
267,pngtest.c,supported known writing overwrites side code exist allocates nothing fail trying pngtestpng re-ordering garbage support
5005,pngfix.c,Skip the translated keyword
4028,pngvalid.c,types validate colour
5168,pngfix.c,stop cause iend
9,pngwutil.c,png_ptr->chunk_name put
3079,pngstest.c,correct given
2246,pngset.c,Skip invalid input entries
2439,pngmem.c,errors
1017,pngrutil.c,required
3104,pngstest.c,unpg unpremultiply scale
1710,png.c,shared code checker
630,pngread.c,png_cmap_
2918,pngimage.c,remove limits
2942,pngimage.c,components
574,pngread.c,accurate verify past null information
2968,pngimage.c,work require zapped
1387,pngrtran.c,Ok
391,pngtest.c,escape changed case none permitted note
3393,pngunknown.c,d->error_return
134,pngwutil.c,Write the background chunk
3479,pngvalid.c,following clears
