('file-not-found', 'NN')
('fails', 'NNS')
('along', 'IN')
('demonstration', 'NN')
('name5', 'FW')
('encode_alpha', 'FW')
('types', 'NNS')
('iend', 'VBP')
('harness', 'NN')
('reserve', 'NN')
('mapping', 'VBG')
('extent', 'NN')
('dropped', 'VBD')
('areas', 'NNS')
('random', 'JJ')
('consumer', 'NN')
('taking', 'VBG')
('copies', 'NNS')
('assume', 'RB')
('subtracted', 'VBD')
('bogus', 'JJ')
('error_in_compose', 'JJ')
('digitization', 'NN')
('png_pass_colswidth', 'NN')
('beginning', 'VBG')
('vpagster', 'NN')
('lost', 'VBD')
('compiling', 'JJ')
('expectations', 'NNS')
('png_pass_row_shiftpass', 'VBP')
('restriction', 'NN')
('log2', 'NN')
('formatted', 'VBD')
('png_store_file', 'JJ')
('sigterm', 'NN')
('folded', 'VBD')
('exist', 'JJ')
('max-outmax-in', 'JJ')
('xrgbrgbxagga', 'NN')
('write_packswap', 'VBD')
('in-place', 'JJ')
('matching', 'VBG')
('libpng-1412', 'JJ')
('products', 'NNS')
('reentered', 'VBN')
('extra_bytes', 'NNS')
('png_read_strip_alpha_supported', 'VBD')
('ceil100000327672', 'JJ')
('systems', 'NNS')
('blue-scale', 'JJ')
('hex', 'JJ')
('rgb-8', 'JJ')
('customization', 'NN')
('hinc', 'NN')
('sharing', 'VBG')
('pointless', 'NN')
('detect', 'JJ')
('latter', 'JJ')
('channel--perhaps', 'JJ')
('horse', 'NN')
('declare', 'NN')
('examination', 'NN')
('end-of-file', 'JJ')
('self', 'NN')
('map', 'NN')
('elimination', 'NN')
('png_set_rgb_to_graypng_structp', 'NN')
('unpremultiply', 'JJ')
('white-ywhite-y', 'JJ')
('parallelize', 'NN')
('idat_end', 'NN')
('documented', 'VBD')
('png_read_transforms_supported', 'JJ')
('heights', 'NNS')
('contain', 'VBP')
('detection', 'NN')
('deinterlacing', 'VBG')
('canceling', 'VBG')
('cause', 'NN')
('flushes', 'NNS')
('led', 'VBD')
('destroy', 'JJ')
('read_png', 'JJ')
('g-16', 'JJ')
('preallocate', 'NN')
('logarithm', 'JJ')
('png_debug_malloc', 'NN')
('sufficient', 'JJ')
('corresponds', 'NNS')
('transforming', 'VBG')
('png_write_flush_after_iend_supported', 'JJ')
('report', 'NN')
('direction', 'NN')
('handlers', 'NNS')
('pre-multiplication', 'JJ')
('represents', 'VBZ')
('png_idat', 'JJ')
('null', 'JJ')
('possibilities', 'NNS')
('reduces', 'VBZ')
('breaks', 'NNS')
('out-of-memory', 'JJ')
('exported', 'VBD')
('dbl_max', 'NN')
('works', 'NNS')
('computations', 'NNS')
('conversions', 'NNS')
('drift', 'VBP')
('cross', 'JJ')
('program', 'NN')
('characteristics', 'NNS')
('caught', 'VBD')
('modifier', 'JJR')
('image_pixel_add_alpha', 'JJ')
('inflatereset2', 'NN')
('make_size_images', 'NNS')
('mis', 'VBP')
('simplified_write_stdio', 'NN')
('act', 'NN')
('configh', 'JJ')
('attempting', 'VBG')
('viewing', 'VBG')
('png_header_version_string', 'VBG')
('the_exception_context', 'JJ')
('storesave', 'NN')
('reinitializes', 'VBZ')
('inverse', 'JJ')
('share', 'NN')
('png_set_quantizepng_structp', 'JJ')
('shorter', 'JJR')
('store_free', 'JJ')
('stash', 'NN')
('saying', 'VBG')
('sorting', 'VBG')
('takes', 'VBZ')
('set_shift', 'NN')
('progressive_read', 'NN')
('cexcepth', 'NN')
('png_read_expand_supported', 'VBD')
('circular', 'JJ')
('review', 'NN')
('avoiding', 'VBG')
('upon', 'IN')
('approaches', 'NNS')
('app_fail', 'VBP')
('clearing', 'VBG')
('facilitate', 'NN')
('crashing', 'VBG')
('non-palette', 'JJ')
('specifies', 'NNS')
('iterate', 'VBP')
('worthy', 'JJ')
('lock-step', 'JJ')
('error_in_premultiply', 'NN')
('shiftsbit', 'NN')
('recover', 'NN')
('destabilizing', 'VBG')
('operate', 'NN')
('png_no_stdio', 'NN')
('holding', 'VBG')
('increasing', 'VBG')
('stray', 'JJ')
('tofrom', 'IN')
('e-mail', 'JJ')
('backwards', 'NNS')
('blue-y-green-y', 'JJ')
('rgb->gray', 'JJ')
('approximated', 'VBN')
('seed', 'NN')
('marked', 'VBN')
('non-benign', 'JJ')
('verified', 'JJ')
('balance', 'NN')
('poyntons', 'NNS')
('architecture', 'VBP')
('bad_combo_list', 'JJ')
('switch', 'NN')
('idats', 'NNS')
('recommended', 'VBD')
('subtracting', 'VBG')
('declared', 'JJ')
('setup', 'JJ')
('blue-x', 'JJ')
('reset', 'NN')
('>green', 'JJ')
('white-scale', 'JJ')
('bitsettest', 'JJS')
('libng-1510', 'JJ')
('png-fix-itxtc', 'JJ')
('issues', 'NNS')
('original_rows', 'VBZ')
('green-ygreen-scale', 'JJ')
('accuracy', 'NN')
('lines', 'NNS')
('zlib_ok', 'CD')
('80-bit', 'JJ')
('grab', 'NN')
('produces', 'NNS')
('validated', 'VBD')
('innocent', 'JJ')
('tail', 'NN')
('increased', 'VBD')
('match', 'NN')
('sets', 'NNS')
('read_background', 'VBP')
('suggests', 'VBZ')
('insert', 'JJ')
('inter-row', 'JJ')
('combine', 'NN')
('understands', 'VBZ')
('png_strip_alpha', 'JJ')
('double-gamma-correction', 'NN')
('codes', 'NNS')
('touchy', 'VBP')
('arises', 'NNS')
('info_iccp', 'VBP')
('continues', 'VBZ')
('indicating', 'VBG')
('png_col_in_interlace_passx', 'JJ')
('give', 'JJ')
('pre-transforms', 'NNS')
('contained', 'VBN')
('guidance', 'NN')
('dump', 'NN')
('desire', 'NN')
('b32768', 'NN')
('outrowc', 'NN')
('guest', 'JJS')
('zlib_control', 'NN')
('association', 'NN')
('fflush', 'VBD')
('color-space', 'JJ')
('spectra', 'JJ')
('png_ptr->transformations', 'NNS')
