"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"transforms","DeclRefExpr",285,285,"int","transforms","","","2003524436286"
"transforms","DeclRefExpr",285,285,"int","transforms","","","2001198163540"
"transforms","DeclRefExpr",291,291,"int","transforms","","","2000507007875"
"transforms","DeclRefExpr",291,291,"int","transforms","","","2001633462138"
"i","DeclRefExpr",299,299,"unsigned int","i","","","2001030859788"
"i","DeclRefExpr",299,299,"unsigned int","i","","","2000616573267"
"known_bad_combos","DeclRefExpr",299,299,"int [1][2]","known bad combos","","","2000737622112"
"known_bad_combos","DeclRefExpr",299,299,"int [1][2]","known bad combos","","","2003084563603"
"i","DeclRefExpr",299,299,"unsigned int","i","","","2002449339147"
"known_bad_combos","DeclRefExpr",301,301,"int [1][2]","known bad combos","","","2003190117435"
"i","DeclRefExpr",301,301,"unsigned int","i","","","2001618586434"
"combo","DeclRefExpr",303,303,"int","combo","","","2004174810130"
"transforms","DeclRefExpr",303,303,"int","transforms","","","2001871940607"
"combo","DeclRefExpr",303,303,"int","combo","","","2000734756184"
"transforms","DeclRefExpr",304,304,"int","transforms","","","2000592233211"
"known_bad_combos","DeclRefExpr",304,304,"int [1][2]","known bad combos","","","2002371734004"
"i","DeclRefExpr",304,304,"unsigned int","i","","","2003197263729"
"t","DeclRefExpr",319,319,"int","t","","","2003364352028"
"t","DeclRefExpr",319,319,"int","t","","","2002093639140"
"i","DeclRefExpr",321,321,"unsigned int","i","","","2003369409993"
"i","DeclRefExpr",321,321,"unsigned int","i","","","2000890582116"
"transform_info","DeclRefExpr",321,321,"struct transform_info [21]","transform info","","","2003038059600"
"transform_info","DeclRefExpr",321,321,"struct transform_info [21]","transform info","","","2000963445369"
"i","DeclRefExpr",321,321,"unsigned int","i","","","2004228140884"
"transform_info","DeclRefExpr",322,322,"struct transform_info [21]","transform info","","","2001887813546"
"i","DeclRefExpr",322,322,"unsigned int","i","","","2003112452268"
"transform_info","DeclRefExpr",323,323,"struct transform_info [21]","transform info","","","2000605266982"
"i","DeclRefExpr",323,323,"unsigned int","i","","","2001092692039"
"t","DeclRefExpr",323,323,"int","t","","","2001724502748"
"transform_info","DeclRefExpr",324,324,"struct transform_info [21]","transform info","","","2000552349967"
"i","DeclRefExpr",324,324,"unsigned int","i","","","2003583128420"
"i","DeclRefExpr",341,341,"unsigned int","i","","","2000892683545"
"i","DeclRefExpr",341,341,"unsigned int","i","","","2002030998879"
"transform_info","DeclRefExpr",341,341,"struct transform_info [21]","transform info","","","2002229743978"
"transform_info","DeclRefExpr",341,341,"struct transform_info [21]","transform info","","","2003241147913"
"i","DeclRefExpr",341,341,"unsigned int","i","","","2002475927705"
"transform_info","DeclRefExpr",343,343,"struct transform_info [21]","transform info","","","2000390402507"
"i","DeclRefExpr",343,343,"unsigned int","i","","","2004003484306"
"transform_info","DeclRefExpr",345,345,"struct transform_info [21]","transform info","","","2001683335027"
"i","DeclRefExpr",345,345,"unsigned int","i","","","2000803422178"
"read_transforms","DeclRefExpr",346,346,"unsigned int","read transforms","read : Operations as part of Data structure","","2001796814661"
"transform_info","DeclRefExpr",346,346,"struct transform_info [21]","transform info","","","2001955645209"
"i","DeclRefExpr",346,346,"unsigned int","i","","","2000235982993"
"transform_info","DeclRefExpr",348,348,"struct transform_info [21]","transform info","","","2001338134333"
"i","DeclRefExpr",348,348,"unsigned int","i","","","2002087387226"
"write_transforms","DeclRefExpr",349,349,"unsigned int","write transforms","write : Operations as part of Data structure","","2001731214336"
"transform_info","DeclRefExpr",349,349,"struct transform_info [21]","transform info","","","2002333249429"
"i","DeclRefExpr",349,349,"unsigned int","i","","","2003727054106"
"rw_transforms","DeclRefExpr",356,356,"unsigned int","rw transforms","","","2003870343591"
"read_transforms","DeclRefExpr",356,356,"unsigned int","read transforms","read : Operations as part of Data structure","","2004011028286"
"write_transforms","DeclRefExpr",356,356,"unsigned int","write transforms","write : Operations as part of Data structure","","2002176004124"
"buffer","DeclRefExpr",388,388,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2002888649462"
"buffer","DeclRefExpr",389,389,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2001333102648"
"buffer","DeclRefExpr",390,390,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2000528898181"
"list","DeclRefExpr",396,396,"struct buffer_list *","list","list : Data-Structure and its Components","","2002291609093"
"list","DeclRefExpr",398,398,"struct buffer_list *","list","list : Data-Structure and its Components","","2003912807871"
"free","DeclRefExpr",399,399,"void (void *)","free","free : Time Complexity / Space Complexity/ Memory/ Exception","","2000538259745"
"list","DeclRefExpr",399,399,"struct buffer_list *","list","list : Data-Structure and its Components","","2000829640479"
"buffer_destroy_list","DeclRefExpr",400,400,"void (struct buffer_list *)","buffer destroy list","buffer : Time Complexity / Space Complexity/ Memory/ Exception | destroy : Time Complexity / Space Complexity/ Memory/ Exception | list : Data-Structure and its Components","","2003078901290"
"next","DeclRefExpr",400,400,"struct buffer_list *","next","next : Data-Structure and its Components","","2004010127448"
"buffer","DeclRefExpr",407,407,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2004081317604"
"buffer_init","DeclRefExpr",408,408,"void (struct buffer *)","buffer init","buffer : Time Complexity / Space Complexity/ Memory/ Exception | init : Properties of Datastructure / Function / Blocks","","2002467509289"
"buffer","DeclRefExpr",408,408,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2001245820167"
"buffer_destroy_list","DeclRefExpr",409,409,"void (struct buffer_list *)","buffer destroy list","buffer : Time Complexity / Space Complexity/ Memory/ Exception | destroy : Time Complexity / Space Complexity/ Memory/ Exception | list : Data-Structure and its Components","","2001054088026"
"list","DeclRefExpr",409,409,"struct buffer_list *","list","list : Data-Structure and its Components","","2001407917882"
"buffer","DeclRefExpr",416,416,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2000336963540"
"buffer","DeclRefExpr",416,416,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2001676839126"
"buffer","DeclRefExpr",417,417,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2003867927873"
"buffer","DeclRefExpr",418,418,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2003333596268"
"buffer","DeclRefExpr",425,425,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2002541386456"
"buffer","DeclRefExpr",425,425,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2000484317560"
"buffer","DeclRefExpr",426,426,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2001112153881"
"png_get_io_ptr","DeclRefExpr",438,438,"png_voidp (png_const_structrp)","png get io ptr","get : Operations as part of Data structure","png","2002336884099"
"pp","DeclRefExpr",438,438,"png_structp","pp","","","2001872172172"
"current","DeclRefExpr",446,446,"struct buffer_list *","current","","","2001010048152"
"current","DeclRefExpr",446,446,"struct buffer_list *","current","","","2000203897345"
"__assert_fail","DeclRefExpr",446,446,"void (const char *, const char *, unsigned int, const char *) __attribute__((noreturn))","assert fail","fail : Time Complexity / Space Complexity/ Memory/ Exception","","2000472080903"
"add","DeclRefExpr",448,448,"struct buffer_list *","add","add : Operations as part of Data structure","","2000994345298"
"malloc","DeclRefExpr",448,448,"void *(unsigned long)","malloc","malloc : Time Complexity / Space Complexity/ Memory/ Exception","","2002596442408"
"add","DeclRefExpr",449,449,"struct buffer_list *","add","add : Operations as part of Data structure","","2000630400355"
"add","DeclRefExpr",452,452,"struct buffer_list *","add","add : Operations as part of Data structure","","2002972597683"
"current","DeclRefExpr",453,453,"struct buffer_list *","current","","","2003273296286"
"add","DeclRefExpr",453,453,"struct buffer_list *","add","add : Operations as part of Data structure","","2001810660492"
"add","DeclRefExpr",455,455,"struct buffer_list *","add","add : Operations as part of Data structure","","2000908730165"
"buffer","DeclRefExpr",464,464,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2001533810190"
"fread","DeclRefExpr",469,469,"unsigned long (void *, unsigned long, unsigned long, FILE *)","fread","","","2003078776867"
"last","DeclRefExpr",469,469,"struct buffer_list *","last","last : Data-Structure and its Components","","2002247806612"
"count","DeclRefExpr",469,469,"size_t","count","count : Operations as part of Algorithms","","2000244671850"
"last","DeclRefExpr",470,470,"struct buffer_list *","last","last : Data-Structure and its Components","","2001431761918"
"count","DeclRefExpr",470,470,"size_t","count","count : Operations as part of Algorithms","","2000893415211"
"fp","DeclRefExpr",470,470,"FILE *","fp","","","2003839875782"
"r","DeclRefExpr",472,472,"size_t","r","","","2003547392232"
"count","DeclRefExpr",474,474,"size_t","count","count : Operations as part of Algorithms","","2001443490927"
"r","DeclRefExpr",474,474,"size_t","r","","","2001533821473"
"count","DeclRefExpr",476,476,"size_t","count","count : Operations as part of Algorithms","","2001248914140"
"last","DeclRefExpr",476,476,"struct buffer_list *","last","last : Data-Structure and its Components","","2000552076395"
"count","DeclRefExpr",478,478,"size_t","count","count : Operations as part of Algorithms","","2002992549115"
"last","DeclRefExpr",478,478,"struct buffer_list *","last","last : Data-Structure and its Components","","2002259622061"
"count","DeclRefExpr",478,478,"size_t","count","count : Operations as part of Algorithms","","2000896841438"
"last","DeclRefExpr",478,478,"struct buffer_list *","last","last : Data-Structure and its Components","","2003338292758"
"__assert_fail","DeclRefExpr",478,478,"void (const char *, const char *, unsigned int, const char *) __attribute__((noreturn))","assert fail","fail : Time Complexity / Space Complexity/ Memory/ Exception","","2000683507214"
"count","DeclRefExpr",479,479,"size_t","count","count : Operations as part of Algorithms","","2000686909330"
"last","DeclRefExpr",481,481,"struct buffer_list *","last","last : Data-Structure and its Components","","2004083211577"
"last","DeclRefExpr",483,483,"struct buffer_list *","last","last : Data-Structure and its Components","","2002327359278"
"buffer_extend","DeclRefExpr",483,483,"struct buffer_list *(struct buffer_list *)","buffer extend","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2000990027417"
"last","DeclRefExpr",483,483,"struct buffer_list *","last","last : Data-Structure and its Components","","2003771117085"
"last","DeclRefExpr",484,484,"struct buffer_list *","last","last : Data-Structure and its Components","","2001161271087"
"last","DeclRefExpr",489,489,"struct buffer_list *","last","last : Data-Structure and its Components","","2002939135597"
"last","DeclRefExpr",489,489,"struct buffer_list *","last","last : Data-Structure and its Components","","2003164256480"
"feof","DeclRefExpr",495,495,"int (FILE *)","feof","","","2001577804578"
"fp","DeclRefExpr",495,495,"FILE *","fp","","","2000928164461"
"buffer","DeclRefExpr",497,497,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2003271694028"
"last","DeclRefExpr",497,497,"struct buffer_list *","last","last : Data-Structure and its Components","","2000592758068"
"buffer","DeclRefExpr",498,498,"struct buffer *","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","2003686258238"
"count","DeclRefExpr",498,498,"size_t","count","count : Operations as part of Algorithms","","2000996137280"
"__errno_location","DeclRefExpr",503,503,"int *(void)","errno location","","","2000372573293"
"__errno_location","DeclRefExpr",503,503,"int *(void)","errno location","","","2003953468381"
"memset","DeclRefExpr",598,598,"void *(void *, int, unsigned long)","memset","","","2001038768670"
"dp","DeclRefExpr",598,598,"struct display *","dp","","","2001984481204"
"dp","DeclRefExpr",598,598,"struct display *","dp","","","2002362473633"
"dp","DeclRefExpr",599,599,"struct display *","dp","","","2002114287972"
"WARNINGS","DeclRefExpr",599,599,"int","WARNINGS","","","2004069874128"
"dp","DeclRefExpr",600,600,"struct display *","dp","","","2002934058749"
"dp","DeclRefExpr",601,601,"struct display *","dp","","","2003646542903"
"dp","DeclRefExpr",602,602,"struct display *","dp","","","2002165747486"
"dp","DeclRefExpr",603,603,"struct display *","dp","","","2000612280561"
"dp","DeclRefExpr",604,604,"struct display *","dp","","","2000896614377"
"dp","DeclRefExpr",605,605,"struct display *","dp","","","2001388945452"
"dp","DeclRefExpr",606,606,"struct display *","dp","","","2001176799984"
"buffer_init","DeclRefExpr",607,607,"void (struct buffer *)","buffer init","buffer : Time Complexity / Space Complexity/ Memory/ Exception | init : Properties of Datastructure / Function / Blocks","","2003023821742"
"dp","DeclRefExpr",607,607,"struct display *","dp","","","2003537934486"
"dp","DeclRefExpr",610,610,"struct display *","dp","","","2001807458594"
"buffer_init","DeclRefExpr",611,611,"void (struct buffer *)","buffer init","buffer : Time Complexity / Space Complexity/ Memory/ Exception | init : Properties of Datastructure / Function / Blocks","","2000355934654"
"dp","DeclRefExpr",611,611,"struct display *","dp","","","2003746794840"
"dp","DeclRefExpr",618,618,"struct display *","dp","","","2002141319207"
"png_destroy_read_struct","DeclRefExpr",619,619,"void (png_structpp, png_infopp, png_infopp)","png destroy read struct","destroy : Time Complexity / Space Complexity/ Memory/ Exception | read : Operations as part of Data structure | struct : Data-Structure and its Components","png","2001519902910"
"dp","DeclRefExpr",619,619,"struct display *","dp","","","2002494573467"
"dp","DeclRefExpr",619,619,"struct display *","dp","","","2000637727163"
"dp","DeclRefExpr",626,626,"struct display *","dp","","","2000323762634"
"png_destroy_write_struct","DeclRefExpr",627,627,"void (png_structpp, png_infopp)","png destroy write struct","destroy : Time Complexity / Space Complexity/ Memory/ Exception | write : Operations as part of Data structure | struct : Data-Structure and its Components","png","2003092166811"
"dp","DeclRefExpr",627,627,"struct display *","dp","","","2003682332244"
"display_clean_write","DeclRefExpr",635,635,"void (struct display *)","display clean write","display : Operations as part of Algorithms | write : Operations as part of Data structure","","2003462613968"
"dp","DeclRefExpr",635,635,"struct display *","dp","","","2001202795105"
"display_clean_read","DeclRefExpr",637,637,"void (struct display *)","display clean read","display : Operations as part of Algorithms | read : Operations as part of Data structure","","2001975929278"
"dp","DeclRefExpr",637,637,"struct display *","dp","","","2001089596106"
"dp","DeclRefExpr",639,639,"struct display *","dp","","","2000346197713"
"dp","DeclRefExpr",640,640,"struct display *","dp","","","2003456627906"
"dp","DeclRefExpr",641,641,"struct display *","dp","","","2000862444614"
"png_destroy_read_struct","DeclRefExpr",643,643,"void (png_structpp, png_infopp, png_infopp)","png destroy read struct","destroy : Time Complexity / Space Complexity/ Memory/ Exception | read : Operations as part of Data structure | struct : Data-Structure and its Components","png","2002224488015"
"dp","DeclRefExpr",643,643,"struct display *","dp","","","2002207408990"
"dp","DeclRefExpr",643,643,"struct display *","dp","","","2003300610407"
"dp","DeclRefExpr",645,645,"struct display *","dp","","","2000856325977"
"buffer_destroy","DeclRefExpr",653,653,"void (struct buffer *)","buffer destroy","buffer : Time Complexity / Space Complexity/ Memory/ Exception | destroy : Time Complexity / Space Complexity/ Memory/ Exception","","2003970769273"
"dp","DeclRefExpr",653,653,"struct display *","dp","","","2002589819079"
"buffer_destroy","DeclRefExpr",656,656,"void (struct buffer *)","buffer destroy","buffer : Time Complexity / Space Complexity/ Memory/ Exception | destroy : Time Complexity / Space Complexity/ Memory/ Exception","","2002548991007"
"dp","DeclRefExpr",656,656,"struct display *","dp","","","2000600849084"
"png_get_error_ptr","DeclRefExpr",663,663,"png_voidp (png_const_structrp)","png get error ptr","get : Operations as part of Data structure | error : Time Complexity / Space Complexity/ Memory/ Exception","png","2003544063781"
"pp","DeclRefExpr",663,663,"png_structp","pp","","","2003610778987"
"dp","DeclRefExpr",665,665,"struct display *","dp","","","2001224366604"
"fprintf","DeclRefExpr",667,667,"int (FILE *, const char *, ...)","fprintf","","","2002739423964"
"stderr","DeclRefExpr",667,667,"struct _IO_FILE *","stderr","","","2001214413791"
"exit","DeclRefExpr",668,668,"void (int) __attribute__((noreturn))","exit","exit : Time Complexity / Space Complexity/ Memory/ Exception","","2003084985387"
"dp","DeclRefExpr",671,671,"struct display *","dp","","","2001358230742"
"dp","DeclRefExpr",689,689,"struct display *","dp","","","2002897854976"
"level","DeclRefExpr",689,689,"error_level","level","level : Data-Structure and its Components","","2003877331885"
"level","DeclRefExpr",691,691,"error_level","level","level : Data-Structure and its Components","","2000948797063"
"dp","DeclRefExpr",691,691,"struct display *","dp","","","2003600901776"
"level","DeclRefExpr",696,696,"error_level","level","level : Data-Structure and its Components","","2002042306974"
"INFORMATION","DeclRefExpr",698,698,"int","INFORMATION","","","2004272430250"
"lp","DeclRefExpr",698,698,"const char *","lp","","","2000907543471"
"LIBPNG_WARNING","DeclRefExpr",699,699,"int","LIBPNG WARNING","","libpng","2003746284384"
"lp","DeclRefExpr",699,699,"const char *","lp","","","2003467726791"
"APP_WARNING","DeclRefExpr",700,700,"int","APP WARNING","","app","2001740646995"
"lp","DeclRefExpr",700,700,"const char *","lp","","","2001576515837"
"APP_FAIL","DeclRefExpr",701,701,"int","APP FAIL","fail : Time Complexity / Space Complexity/ Memory/ Exception","app","2000339211722"
"lp","DeclRefExpr",701,701,"const char *","lp","","","2000435469405"
"LIBPNG_ERROR","DeclRefExpr",702,702,"int","LIBPNG ERROR","error : Time Complexity / Space Complexity/ Memory/ Exception","libpng","2000382113518"
"lp","DeclRefExpr",702,702,"const char *","lp","","","2000141651449"
"LIBPNG_BUG","DeclRefExpr",703,703,"int","LIBPNG BUG","bug : Time Complexity / Space Complexity/ Memory/ Exception","libpng","2001824485090"
"lp","DeclRefExpr",703,703,"const char *","lp","","","2001617008247"
"APP_ERROR","DeclRefExpr",704,704,"int","APP ERROR","error : Time Complexity / Space Complexity/ Memory/ Exception","app","2003140132999"
"lp","DeclRefExpr",704,704,"const char *","lp","","","2001993318534"
"USER_ERROR","DeclRefExpr",705,705,"int","USER ERROR","error : Time Complexity / Space Complexity/ Memory/ Exception","","2001705525638"
"lp","DeclRefExpr",705,705,"const char *","lp","","","2001338044782"
"INTERNAL_ERROR","DeclRefExpr",707,707,"int","INTERNAL ERROR","internal : Properties of Datastructure / Function / Blocks | error : Time Complexity / Space Complexity/ Memory/ Exception","","2000547223911"
"VERBOSE","DeclRefExpr",708,708,"int","VERBOSE","","","2003979454896"
"WARNINGS","DeclRefExpr",708,708,"int","WARNINGS","","","2003467538859"
"ERRORS","DeclRefExpr",708,708,"int","ERRORS","","","2002930121804"
"QUIET","DeclRefExpr",708,708,"int","QUIET","","","2001565522824"
"lp","DeclRefExpr",709,709,"const char *","lp","","","2003543122934"
"fprintf","DeclRefExpr",712,712,"int (FILE *, const char *, ...)","fprintf","","","2000625759616"
"stderr","DeclRefExpr",712,712,"struct _IO_FILE *","stderr","","","2002683793568"
"dp","DeclRefExpr",713,713,"struct display *","dp","","","2001128918273"
"dp","DeclRefExpr",713,713,"struct display *","dp","","","2002552870634"
"lp","DeclRefExpr",713,713,"const char *","lp","","","2000106996610"
"dp","DeclRefExpr",713,713,"struct display *","dp","","","2003243715239"
"dp","DeclRefExpr",715,715,"struct display *","dp","","","2004218905224"
"dp","DeclRefExpr",717,717,"struct display *","dp","","","2001755537117"
"is_combo","DeclRefExpr",719,719,"int (int)","is combo","","","2003670661000"
"tr","DeclRefExpr",719,719,"int","tr","","","2000808454531"
"dp","DeclRefExpr",721,721,"struct display *","dp","","","2004056701812"
"tr","DeclRefExpr",723,723,"int","tr","","","2000335795182"
"fprintf","DeclRefExpr",725,725,"int (FILE *, const char *, ...)","fprintf","","","2000126346784"
"stderr","DeclRefExpr",725,725,"struct _IO_FILE *","stderr","","","2000845130217"
"trx","DeclRefExpr",726,726,"int","trx","","","2002862470896"
"trx","DeclRefExpr",730,730,"int","trx","","","2001984299919"
"trx","DeclRefExpr",732,732,"int","trx","","","2004106935722"
"trx","DeclRefExpr",732,732,"int","trx","","","2000263746050"
