"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"""TMP""","StringLiteral",78,78,"char [23]","""TMP""","","","1902252874385"
""" --file""","StringLiteral",344,344,"char [8]",""" --file""","","","1900436150591"
""" --stdio""","StringLiteral",346,346,"char [9]",""" --stdio""","","","1902316814936"
""" --nostrict""","StringLiteral",348,348,"char [12]",""" --nostrict""","","","1902353482949"
""" --verbose""","StringLiteral",350,350,"char [11]",""" --verbose""","","","1903546280472"
""" --preserve""","StringLiteral",352,352,"char [12]",""" --preserve""","","","1902916530542"
""" --keep-going""","StringLiteral",354,354,"char [14]",""" --keep-going""","","","1900669101608"
""" --accumulate""","StringLiteral",356,356,"char [14]",""" --accumulate""","","","1901309072444"
""" --slow""","StringLiteral",358,358,"char [8]",""" --slow""","","","1901691293816"
""" --sRGB-16bit""","StringLiteral",360,360,"char [14]",""" --s RGB-16bit""","","","1902964601448"
""" --noreseed""","StringLiteral",362,362,"char [12]",""" --noreseed""","","","1903632920757"
""" --fault-gbg-warning""","StringLiteral",365,365,"char [21]",""" --fault-gbg-warning""","","","1901325459945"
"""sRGB-gray""","StringLiteral",378,378,"char [10]","""s RGB-gray""","","","1903605954727"
"""sRGB-gray+alpha""","StringLiteral",379,379,"char [16]","""s RGB-gray+alpha""","","","1900190507611"
"""sRGB-rgb""","StringLiteral",380,380,"char [9]","""s RGB-rgb""","","","1904006534958"
"""sRGB-rgb+alpha""","StringLiteral",381,381,"char [15]","""s RGB-rgb+alpha""","","","1903606855130"
"""linear-gray""","StringLiteral",382,382,"char [12]","""linear-gray""","","","1901817813205"
"""linear-gray+alpha""","StringLiteral",383,383,"char [18]","""linear-gray+alpha""","","","1903436733639"
"""linear-rgb""","StringLiteral",384,384,"char [11]","""linear-rgb""","","","1904081435532"
"""linear-rgb+alpha""","StringLiteral",385,385,"char [17]","""linear-rgb+alpha""","","","1901286591714"
"""color-mapped-sRGB-gray""","StringLiteral",387,387,"char [23]","""color-mapped-s RGB-gray""","","","1903675654069"
"""color-mapped-sRGB-gray+alpha""","StringLiteral",388,388,"char [29]","""color-mapped-s RGB-gray+alpha""","","","1902779518894"
"""color-mapped-sRGB-rgb""","StringLiteral",389,389,"char [22]","""color-mapped-s RGB-rgb""","","","1901881149656"
"""color-mapped-sRGB-rgb+alpha""","StringLiteral",390,390,"char [28]","""color-mapped-s RGB-rgb+alpha""","","","1902294712658"
"""color-mapped-linear-gray""","StringLiteral",391,391,"char [25]","""color-mapped-linear-gray""","","","1901208063087"
"""color-mapped-linear-gray+alpha""","StringLiteral",392,392,"char [31]","""color-mapped-linear-gray+alpha""","","","1900920801773"
"""color-mapped-linear-rgb""","StringLiteral",393,393,"char [24]","""color-mapped-linear-rgb""","","","1902312941325"
"""color-mapped-linear-rgb+alpha""","StringLiteral",394,394,"char [30]","""color-mapped-linear-rgb+alpha""","","","1900917419568"
"""sRGB-gray""","StringLiteral",396,396,"char [10]","""s RGB-gray""","","","1903131678395"
"""sRGB-gray+alpha""","StringLiteral",397,397,"char [16]","""s RGB-gray+alpha""","","","1900984335453"
"""sRGB-bgr""","StringLiteral",398,398,"char [9]","""s RGB-bgr""","","","1903832651761"
"""sRGB-bgr+alpha""","StringLiteral",399,399,"char [15]","""s RGB-bgr+alpha""","","","1900832602531"
"""linear-gray""","StringLiteral",400,400,"char [12]","""linear-gray""","","","1903537516483"
"""linear-gray+alpha""","StringLiteral",401,401,"char [18]","""linear-gray+alpha""","","","1902750943877"
"""linear-bgr""","StringLiteral",402,402,"char [11]","""linear-bgr""","","","1901587809377"
"""linear-bgr+alpha""","StringLiteral",403,403,"char [17]","""linear-bgr+alpha""","","","1902546389030"
"""color-mapped-sRGB-gray""","StringLiteral",405,405,"char [23]","""color-mapped-s RGB-gray""","","","1902810429344"
"""color-mapped-sRGB-gray+alpha""","StringLiteral",406,406,"char [29]","""color-mapped-s RGB-gray+alpha""","","","1901201398483"
"""color-mapped-sRGB-bgr""","StringLiteral",407,407,"char [22]","""color-mapped-s RGB-bgr""","","","1902521975241"
"""color-mapped-sRGB-bgr+alpha""","StringLiteral",408,408,"char [28]","""color-mapped-s RGB-bgr+alpha""","","","1903882240478"
"""color-mapped-linear-gray""","StringLiteral",409,409,"char [25]","""color-mapped-linear-gray""","","","1900381006321"
"""color-mapped-linear-gray+alpha""","StringLiteral",410,410,"char [31]","""color-mapped-linear-gray+alpha""","","","1901798105263"
"""color-mapped-linear-bgr""","StringLiteral",411,411,"char [24]","""color-mapped-linear-bgr""","","","1902591299073"
"""color-mapped-linear-bgr+alpha""","StringLiteral",412,412,"char [30]","""color-mapped-linear-bgr+alpha""","","","1902984593479"
"""sRGB-gray""","StringLiteral",414,414,"char [10]","""s RGB-gray""","","","1902968285239"
"""alpha+sRGB-gray""","StringLiteral",415,415,"char [16]","""alpha+s RGB-gray""","","","1903238612985"
"""sRGB-rgb""","StringLiteral",416,416,"char [9]","""s RGB-rgb""","","","1900469246773"
"""alpha+sRGB-rgb""","StringLiteral",417,417,"char [15]","""alpha+s RGB-rgb""","","","1904251556059"
"""linear-gray""","StringLiteral",418,418,"char [12]","""linear-gray""","","","1900257194489"
"""alpha+linear-gray""","StringLiteral",419,419,"char [18]","""alpha+linear-gray""","","","1903196431834"
"""linear-rgb""","StringLiteral",420,420,"char [11]","""linear-rgb""","","","1904261974276"
