"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"png_uint_32","TypeRef",185,185,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",186,186,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",193,193,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",194,194,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",200,200,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",207,207,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",214,214,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",221,221,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",228,228,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",235,235,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",242,242,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",249,249,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",256,256,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",263,263,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",270,270,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",277,277,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",284,284,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",291,291,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",298,298,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",305,305,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",312,312,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",319,319,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",328,328,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",329,329,"png_uint_32","png uint 32","","png","2101130011983"
"png_byte","TypeRef",356,356,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","2101609427688"
"png_uint_32","TypeRef",369,369,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",384,384,"png_uint_32","png uint 32","","png","2101130011983"
"png_byte","TypeRef",389,389,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","2101609427688"
"png_uint_32","TypeRef",391,391,"png_uint_32","png uint 32","","png","2101130011983"
"jmp_buf","TypeRef",398,398,"jmp_buf","jmp buf","","","2103690626767"
"png_structp","TypeRef",399,399,"png_structp","png structp","","png","2100467373341"
"png_infop","TypeRef",400,400,"png_infop","png infop","","png","2101631119598"
"png_uint_32","TypeRef",401,401,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",402,402,"png_uint_32","png uint 32","","png","2101130011983"
"display","TypeRef",415,415,"display","display","display : Operations as part of Algorithms","","2102881928241"
"display","TypeRef",427,427,"display","display","display : Operations as part of Algorithms","","2102881928241"
"display","TypeRef",440,440,"display","display","display : Operations as part of Algorithms","","2102881928241"
"display","TypeRef",457,457,"display","display","display : Operations as part of Algorithms","","2102881928241"
"png_structp","TypeRef",463,463,"png_structp","png structp","","png","2100467373341"
"display","TypeRef",466,466,"display","display","display : Operations as part of Algorithms","","2102881928241"
"display","TypeRef",466,466,"display","display","display : Operations as part of Algorithms","","2102881928241"
"png_structp","TypeRef",473,473,"png_structp","png structp","","png","2100467373341"
"display","TypeRef",475,475,"display","display","display : Operations as part of Algorithms","","2102881928241"
"display","TypeRef",475,475,"display","display","display : Operations as part of Algorithms","","2102881928241"
"png_uint_32","TypeRef",481,481,"png_uint_32","png uint 32","","png","2101130011983"
"display","TypeRef",482,482,"display","display","display : Operations as part of Algorithms","","2102881928241"
"png_infop","TypeRef",482,482,"png_infop","png infop","","png","2101631119598"
"png_uint_32","TypeRef",484,484,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",484,484,"png_uint_32","png uint 32","","png","2101130011983"
"png_textp","TypeRef",488,488,"png_textp","png textp","","png","2102050211468"
"png_uint_32","TypeRef",489,489,"png_uint_32","png uint 32","","png","2101130011983"
"png_structp","TypeRef",515,515,"png_structp","png structp","","png","2100467373341"
"png_unknown_chunkp","TypeRef",515,515,"png_unknown_chunkp","png unknown chunkp","","png","2100645848946"
"display","TypeRef",520,520,"display","display","display : Operations as part of Algorithms","","2102881928241"
"png_uint_32","TypeRef",568,568,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",590,590,"png_uint_32","png uint 32","","png","2101130011983"
"display","TypeRef",591,591,"display","display","display : Operations as part of Algorithms","","2102881928241"
"png_infop","TypeRef",591,591,"png_infop","png infop","","png","2101631119598"
"png_uint_32","TypeRef",594,594,"png_uint_32","png uint 32","","png","2101130011983"
"png_unknown_chunkp","TypeRef",599,599,"png_unknown_chunkp","png unknown chunkp","","png","2100645848946"
"FILE","TypeRef",665,665,"FILE","FILE","","","2101527400024"
"png_uint_32p","TypeRef",665,665,"png_uint_32p","png uint 32p","","png","2101349804953"
"display","TypeRef",666,666,"display","display","display : Operations as part of Algorithms","","2102881928241"
"png_uint_32","TypeRef",669,669,"png_uint_32","png uint 32","","png","2101130011983"
"png_byte","TypeRef",754,754,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","2101609427688"
"png_uint_32","TypeRef",839,839,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",843,843,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",847,847,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",858,858,"png_uint_32","png uint 32","","png","2101130011983"
"display","TypeRef",883,883,"display","display","display : Operations as part of Algorithms","","2102881928241"
"png_uint_32","TypeRef",883,883,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",887,887,"png_uint_32","png uint 32","","png","2101130011983"
"png_int_32","TypeRef",887,887,"png_int_32","png int 32","int : Properties of Datastructure / Function / Blocks","png","2100979070634"
"display","TypeRef",899,899,"display","display","display : Operations as part of Algorithms","","2102881928241"
"png_uint_32","TypeRef",899,899,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",899,899,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",900,900,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",904,904,"png_uint_32","png uint 32","","png","2101130011983"
"png_int_32","TypeRef",904,904,"png_int_32","png int 32","int : Properties of Datastructure / Function / Blocks","png","2100979070634"
"FILE","TypeRef",1017,1017,"FILE","FILE","","","2101527400024"
"png_uint_32","TypeRef",1018,1018,"png_uint_32","png uint 32","","png","2101130011983"
"display","TypeRef",1018,1018,"display","display","display : Operations as part of Algorithms","","2102881928241"
"png_uint_32","TypeRef",1021,1021,"png_uint_32","png uint 32","","png","2101130011983"
"png_uint_32","TypeRef",1059,1059,"png_uint_32","png uint 32","","png","2101130011983"
"FILE","TypeRef",1082,1082,"FILE","FILE","","","2101527400024"
"png_uint_32","TypeRef",1083,1083,"png_uint_32","png uint 32","","png","2101130011983"
"display","TypeRef",1083,1083,"display","display","display : Operations as part of Algorithms","","2102881928241"
"FILE","TypeRef",1123,1123,"FILE","FILE","","","2101527400024"
"png_uint_32","TypeRef",1124,1124,"png_uint_32","png uint 32","","png","2101130011983"
"display","TypeRef",1128,1128,"display","display","display : Operations as part of Algorithms","","2102881928241"
"FILE","TypeRef",1256,1256,"FILE","FILE","","","2101527400024"
"SKIP","macroDefinition",39,39,"","SKIP","","","2103164537504"
"keep","MemberRefExpr",339,339,"int","keep","","","2100974280523"
"name","MemberRefExpr",348,348,"char [5]","name","","","2102901752805"
"name","MemberRefExpr",361,361,"char [5]","name","","","2101728964153"
"flag","MemberRefExpr",374,374,"png_uint_32","flag","","","2101392319516"
"png_ptr","MemberRefExpr",418,418,"png_structp","png ptr","","png","2103511555112"
"info_ptr","MemberRefExpr",419,419,"png_infop","info ptr","","","2101971488342"
"end_ptr","MemberRefExpr",419,419,"png_infop","end ptr","end : Time Complexity / Space Complexity/ Memory/ Exception","","2103826308360"
"error_count","MemberRefExpr",420,420,"int","error count","error : Time Complexity / Space Complexity/ Memory/ Exception | count : Operations as part of Algorithms","","2103021084310"
"warning_count","MemberRefExpr",420,420,"int","warning count","count : Operations as part of Algorithms","","2102271641650"
"program","MemberRefExpr",421,421,"const char *","program","","","2103957455211"
"file","MemberRefExpr",422,422,"const char *","file","","","2101372213350"
"test","MemberRefExpr",423,423,"const char *","test","","","2101772959716"
"png_ptr","MemberRefExpr",429,429,"png_structp","png ptr","","png","2101857433088"
"info_ptr","MemberRefExpr",429,429,"png_infop","info ptr","","","2103582434151"
"end_ptr","MemberRefExpr",429,429,"png_infop","end ptr","end : Time Complexity / Space Complexity/ Memory/ Exception","","2103005951054"
"png_ptr","MemberRefExpr",432,432,"png_structp","png ptr","","png","2101999666799"
"info_ptr","MemberRefExpr",432,432,"png_infop","info ptr","","","2101799665098"
"end_ptr","MemberRefExpr",432,432,"png_infop","end ptr","end : Time Complexity / Space Complexity/ Memory/ Exception","","2101096176472"
"file","MemberRefExpr",434,434,"const char *","file","","","2101770928613"
"test","MemberRefExpr",435,435,"const char *","test","","","2103698099278"
"error_count","MemberRefExpr",442,442,"int","error count","error : Time Complexity / Space Complexity/ Memory/ Exception | count : Operations as part of Algorithms","","2103736792422"
"png_ptr","MemberRefExpr",444,444,"png_structp","png ptr","","png","2101288590929"
