"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"MAX_LENGTH","macroExpansion",45,45,"","MAX LENGTH","max : Operations as part of Data structure | length : Operations as part of Algorithms","","102532102961"
"GETBREAK","macroExpansion",53,53,"","GETBREAK","","","103837389021"
"GETBREAK","macroExpansion",62,62,"","GETBREAK","","","104131829381"
"GETBREAK","macroExpansion",63,63,"","GETBREAK","","","100560675433"
"GETBREAK","macroExpansion",64,64,"","GETBREAK","","","101538733768"
"GETBREAK","macroExpansion",65,65,"","GETBREAK","","","103876124198"
"GETBREAK","macroExpansion",68,68,"","GETBREAK","","","100155986688"
"GETBREAK","macroExpansion",69,69,"","GETBREAK","","","101802257762"
"GETBREAK","macroExpansion",70,70,"","GETBREAK","","","104175977542"
"GETBREAK","macroExpansion",71,71,"","GETBREAK","","","103260181184"
"MAX_LENGTH","macroExpansion",77,77,"","MAX LENGTH","max : Operations as part of Data structure | length : Operations as part of Algorithms","","102841807029"
"Z_NULL","macroExpansion",81,81,"","Z NULL","null : Properties of Datastructure / Function / Blocks","","100106182504"
"GETBREAK","macroExpansion",86,86,"","GETBREAK","","","103327804998"
"MAX_LENGTH","macroExpansion",106,106,"","MAX LENGTH","max : Operations as part of Data structure | length : Operations as part of Algorithms","","102873473094"
"GETBREAK","macroExpansion",109,109,"","GETBREAK","","","102010365255"
"GETBREAK","macroExpansion",142,142,"","GETBREAK","","","103824901062"
"stdio.h","inclusionDirective",32,32,"","stdio.h","","","102623719821"
"zlib.h","inclusionDirective",33,33,"","zlib.h","","","100543146776"
"i","VarDecl",44,44,"unsigned int","i","","","103282378136"
"buf","VarDecl",45,45,"unsigned char [500000]","buf","","","103534625953"
"crc","VarDecl",46,46,"unsigned long","crc","","crc","101660434653"
"c","VarDecl",47,47,"unsigned char","c","","","100601412355"
"inchar","VarDecl",48,48,"int","inchar","","","101029998036"
"length","VarDecl",61,61,"unsigned long","length","length : Operations as part of Algorithms","","102684274242"
"i","DeclRefExpr",51,51,"unsigned int","i","","","103266396004"
"i","DeclRefExpr",51,51,"unsigned int","i","","","102645761937"
"i","DeclRefExpr",51,51,"unsigned int","i","","","104101062456"
"inchar","DeclRefExpr",53,53,"int","inchar","","","102875654381"
"getchar","DeclRefExpr",53,53,"int (void)","getchar","","","101671575181"
"c","DeclRefExpr",53,53,"unsigned char","c","","","101967452231"
"inchar","DeclRefExpr",53,53,"int","inchar","","","101459243920"
"inchar","DeclRefExpr",53,53,"int","inchar","","","101759335946"
"c","DeclRefExpr",53,53,"unsigned char","c","","","102661589765"
"putchar","DeclRefExpr",54,54,"int (int)","putchar","","","100062543029"
"c","DeclRefExpr",54,54,"unsigned char","c","","","104209325640"
"inchar","DeclRefExpr",57,57,"int","inchar","","","101228057944"
"c","DeclRefExpr",57,57,"unsigned char","c","","","100976568203"
"inchar","DeclRefExpr",62,62,"int","inchar","","","101002736769"
"getchar","DeclRefExpr",62,62,"int (void)","getchar","","","101650018656"
"c","DeclRefExpr",62,62,"unsigned char","c","","","103128826544"
"inchar","DeclRefExpr",62,62,"int","inchar","","","100036440858"
"inchar","DeclRefExpr",62,62,"int","inchar","","","102111217045"
"c","DeclRefExpr",62,62,"unsigned char","c","","","103271078896"
"buf","DeclRefExpr",62,62,"unsigned char [500000]","buf","","","102245223503"
"c","DeclRefExpr",62,62,"unsigned char","c","","","102557093110"
"length","DeclRefExpr",62,62,"unsigned long","length","length : Operations as part of Algorithms","","103917628333"
"c","DeclRefExpr",62,62,"unsigned char","c","","","101703458348"
"length","DeclRefExpr",62,62,"unsigned long","length","length : Operations as part of Algorithms","","100103718533"
"inchar","DeclRefExpr",63,63,"int","inchar","","","101270247935"
"getchar","DeclRefExpr",63,63,"int (void)","getchar","","","102813830906"
"c","DeclRefExpr",63,63,"unsigned char","c","","","102048507751"
"inchar","DeclRefExpr",63,63,"int","inchar","","","102324595800"
"inchar","DeclRefExpr",63,63,"int","inchar","","","100439656909"
"c","DeclRefExpr",63,63,"unsigned char","c","","","101376412524"
"buf","DeclRefExpr",63,63,"unsigned char [500000]","buf","","","102805121505"
"c","DeclRefExpr",63,63,"unsigned char","c","","","101485447185"
"length","DeclRefExpr",63,63,"unsigned long","length","length : Operations as part of Algorithms","","103013630823"
"c","DeclRefExpr",63,63,"unsigned char","c","","","101869979460"
"length","DeclRefExpr",63,63,"unsigned long","length","length : Operations as part of Algorithms","","103127005260"
"inchar","DeclRefExpr",64,64,"int","inchar","","","100574635476"
"getchar","DeclRefExpr",64,64,"int (void)","getchar","","","103945538412"
"c","DeclRefExpr",64,64,"unsigned char","c","","","101176436577"
"inchar","DeclRefExpr",64,64,"int","inchar","","","100117499665"
"inchar","DeclRefExpr",64,64,"int","inchar","","","103071076889"
"c","DeclRefExpr",64,64,"unsigned char","c","","","100158572000"
"buf","DeclRefExpr",64,64,"unsigned char [500000]","buf","","","100726163195"
"c","DeclRefExpr",64,64,"unsigned char","c","","","101436029062"
"length","DeclRefExpr",64,64,"unsigned long","length","length : Operations as part of Algorithms","","101738179341"
"c","DeclRefExpr",64,64,"unsigned char","c","","","100456963072"
"length","DeclRefExpr",64,64,"unsigned long","length","length : Operations as part of Algorithms","","102977170637"
"inchar","DeclRefExpr",65,65,"int","inchar","","","104208890472"
"getchar","DeclRefExpr",65,65,"int (void)","getchar","","","102832526031"
"c","DeclRefExpr",65,65,"unsigned char","c","","","103183384268"
"inchar","DeclRefExpr",65,65,"int","inchar","","","104094536046"
"inchar","DeclRefExpr",65,65,"int","inchar","","","100773843828"
"c","DeclRefExpr",65,65,"unsigned char","c","","","100032733925"
