"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"invalid_bit_depth","LabelRef",1430,1430,"","invalid bit depth","bit : Data-Structure and its Components","depth","2300682356273"
"invalid_bit_depth","LabelRef",1435,1435,"","invalid bit depth","bit : Data-Structure and its Components","depth","2300682356273"
"invalid_bit_depth","LabelRef",1440,1440,"","invalid bit depth","bit : Data-Structure and its Components","depth","2300682356273"
"invalid_bit_depth","LabelRef",1447,1447,"","invalid bit depth","bit : Data-Structure and its Components","depth","2300682356273"
"invalid_bit_depth","LabelRef",1454,1454,"","invalid bit depth","bit : Data-Structure and its Components","depth","2300682356273"
"end_check","LabelRef",2553,2553,"","end check","end : Time Complexity / Space Complexity/ Memory/ Exception | check : Operations as part of Algorithms","","2302367542729"
"skip_chunk","LabelRef",2830,2830,"","skip chunk","","chunk","2301845254762"
"skip_chunk","LabelRef",2839,2839,"","skip chunk","","chunk","2301845254762"
"truncated","LabelRef",3020,3020,"","truncated","","","2304010880973"
"truncated","LabelRef",3062,3062,"","truncated","","","2304010880973"
"write_crc","LabelRef",3445,3445,"","write crc","write : Operations as part of Data structure","crc","2301980065935"
"write_crc","LabelRef",3446,3446,"","write crc","write : Operations as part of Data structure","crc","2301980065935"
"write_crc","LabelRef",3447,3447,"","write crc","write : Operations as part of Data structure","crc","2301980065935"
"val","UnexposedExpr",190,190,"png_alloc_size_t","val","","","2301238337982"
"result","UnexposedExpr",192,192,"uarb","result","result : Data-Structure and its Components","","2300022232255"
"val","UnexposedExpr",192,192,"png_alloc_size_t","val","","","2300784583736"
"ndigits","UnexposedExpr",196,196,"int","ndigits","","","2303052320146"
"d","UnexposedExpr",205,205,"int","d","","","2300839662977"
"idigits","UnexposedExpr",205,205,"int","idigits","","","2303101051622"
"to","UnexposedExpr",206,206,"uarb","to","","","2302698917424"
"d","UnexposedExpr",206,206,"int","d","","","2302300482498"
"from","UnexposedExpr",206,206,"uarb","from","","","2300048373622"
