"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"tmp","VarDecl",31,31,"int","tmp","","","1801220670148"
"tmp","VarDecl",37,37,"int","tmp","","","1804035077668"
"tmp","VarDecl",42,42,"png_uint_32","tmp","","","1803985225465"
"tmp","VarDecl",48,48,"int","tmp","","","1803254064426"
"rb","VarDecl",59,59,"size_t","rb","","","1803480362357"
"a","VarDecl",61,61,"__m128i","a","","","1802055582596"
"d","VarDecl",61,61,"__m128i","d","","","1802903077395"
"rb","VarDecl",92,92,"size_t","rb","","","1803956765186"
"a","VarDecl",94,94,"__m128i","a","","","1803823206352"
"d","VarDecl",94,94,"__m128i","d","","","1803264619665"
"rb","VarDecl",119,119,"size_t","rb","","","1802320641735"
"zero","VarDecl",121,121,"const __m128i","zero","","","1801756553675"
"b","VarDecl",123,123,"__m128i","b","","","1800096381072"
"a","VarDecl",124,124,"__m128i","a","","","1800459297072"
"d","VarDecl",124,124,"__m128i","d","","","1800725924803"
"avg","VarDecl",129,129,"__m128i","avg","avg : Operations as part of Data structure","","1803323682342"
"avg","VarDecl",146,146,"__m128i","avg","avg : Operations as part of Data structure","","1801389282580"
"rb","VarDecl",173,173,"size_t","rb","","","1801705866898"
"zero","VarDecl",174,174,"const __m128i","zero","","","1802444894022"
"b","VarDecl",175,175,"__m128i","b","","","1802935443157"
"a","VarDecl",176,176,"__m128i","a","","","1800757069340"
"d","VarDecl",176,176,"__m128i","d","","","1802520101336"
"avg","VarDecl",182,182,"__m128i","avg","avg : Operations as part of Data structure","","1800507288692"
"is_negative","VarDecl",209,209,"__m128i","is negative","negative : Properties of Datastructure / Function / Blocks","","1802623682473"
"rb","VarDecl",245,245,"size_t","rb","","","1803510062451"
"zero","VarDecl",246,246,"const __m128i","zero","","","1802538744167"
"c","VarDecl",247,247,"__m128i","c","","","1802746713058"
"b","VarDecl",247,247,"__m128i","b","","","1802859715929"
"a","VarDecl",248,248,"__m128i","a","","","1800913086403"
"d","VarDecl",248,248,"__m128i","d","","","1801580663703"
"pa","VarDecl",257,257,"__m128i","pa","","","1802979220220"
"pb","VarDecl",257,257,"__m128i","pb","","","1801091671889"
"pc","VarDecl",257,257,"__m128i","pc","","","1802904333149"
"smallest","VarDecl",257,257,"__m128i","smallest","","","1801161700576"
"nearest","VarDecl",257,257,"__m128i","nearest","","","1801122982113"
"pa","VarDecl",294,294,"__m128i","pa","","","1801328710458"
"pb","VarDecl",294,294,"__m128i","pb","","","1800452135789"
"pc","VarDecl",294,294,"__m128i","pc","","","1801407528121"
"smallest","VarDecl",294,294,"__m128i","smallest","","","1803920575127"
"nearest","VarDecl",294,294,"__m128i","nearest","","","1802208039546"
"rb","VarDecl",344,344,"size_t","rb","","","1804282574424"
"zero","VarDecl",345,345,"const __m128i","zero","","","1800351799154"
"pa","VarDecl",346,346,"__m128i","pa","","","1803343421512"
"pb","VarDecl",346,346,"__m128i","pb","","","1802808781266"
"pc","VarDecl",346,346,"__m128i","pc","","","1801926524047"
"smallest","VarDecl",346,346,"__m128i","smallest","","","1801372162005"
