"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"num_bytes","DeclRefExpr",49,49,"int","num bytes","bytes : Time Complexity / Space Complexity/ Memory/ Exception","","201744387330"
"png_ptr","DeclRefExpr",53,53,"png_structrp","png ptr","","png","203151681585"
"num_bytes","DeclRefExpr",56,56,"int","num bytes","bytes : Time Complexity / Space Complexity/ Memory/ Exception","","204013203341"
"nb","DeclRefExpr",57,57,"unsigned int","nb","","","202778403390"
"nb","DeclRefExpr",59,59,"unsigned int","nb","","","200390175224"
"png_error","DeclRefExpr",60,60,"void (png_const_structrp, png_const_charp) __attribute__((noreturn))","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","201359185643"
"png_ptr","DeclRefExpr",60,60,"png_structrp","png ptr","","png","203707137182"
"png_ptr","DeclRefExpr",62,62,"png_structrp","png ptr","","png","200602140326"
"nb","DeclRefExpr",62,62,"unsigned int","nb","","","202693315001"
"num_to_check","DeclRefExpr",78,78,"size_t","num to check","check : Operations as part of Algorithms","","201325312033"
"num_to_check","DeclRefExpr",79,79,"size_t","num to check","check : Operations as part of Algorithms","","202102809991"
"num_to_check","DeclRefExpr",81,81,"size_t","num to check","check : Operations as part of Algorithms","","204165750489"
"start","DeclRefExpr",84,84,"size_t","start","start : Time Complexity / Space Complexity/ Memory/ Exception","","200329717983"
"start","DeclRefExpr",87,87,"size_t","start","start : Time Complexity / Space Complexity/ Memory/ Exception","","201184940790"
"num_to_check","DeclRefExpr",87,87,"size_t","num to check","check : Operations as part of Algorithms","","203155153141"
"num_to_check","DeclRefExpr",88,88,"size_t","num to check","check : Operations as part of Algorithms","","201458573818"
"start","DeclRefExpr",88,88,"size_t","start","start : Time Complexity / Space Complexity/ Memory/ Exception","","201252896023"
"memcmp","DeclRefExpr",90,90,"int (const void *, const void *, unsigned long)","memcmp","","","200197841528"
"sig","DeclRefExpr",90,90,"png_const_bytep","sig","","","201606379139"
"start","DeclRefExpr",90,90,"size_t","start","start : Time Complexity / Space Complexity/ Memory/ Exception","","202860318925"
