"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"png_default_error","FunctionDecl",23,24,"void (png_const_structrp, png_const_charp) __attribute__((noreturn))","png default error","default : Properties of Datastructure / Function / Blocks | error : Time Complexity / Space Complexity/ Memory/ Exception","png","302630408507"
"png_default_warning","FunctionDecl",27,29,"void (png_const_structrp, png_const_charp)","png default warning","default : Properties of Datastructure / Function / Blocks","png","303694911177"
"png_error","FunctionDecl",40,89,"void (png_const_structrp, png_const_charp) __attribute__((noreturn))","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","303616813099"
"png_safecat","FunctionDecl",111,125,"size_t (png_charp, size_t, size_t, png_const_charp)","png safecat","","png","300521270391"
"png_format_number","FunctionDecl",132,206,"png_charp (png_const_charp, png_charp, int, png_alloc_size_t)","png format number","number : Data-Structure and its Components","png","303966139052"
"png_warning","FunctionDecl",215,239,"void (png_const_structrp, png_const_charp)","png warning","","png","303528741024"
"png_warning_parameter","FunctionDecl",246,252,"void (char (*)[32], int, png_const_charp)","png warning parameter","","png","301706981471"
"png_warning_parameter_unsigned","FunctionDecl",254,260,"void (char (*)[32], int, int, png_alloc_size_t)","png warning parameter unsigned","unsigned : Properties of Datastructure / Function / Blocks","png","300665461182"
"png_warning_parameter_signed","FunctionDecl",262,281,"void (char (*)[32], int, int, png_int_32)","png warning parameter signed","signed : Properties of Datastructure / Function / Blocks","png","302784108925"
"png_formatted_warning","FunctionDecl",283,357,"void (png_const_structrp, char (*)[32], png_const_charp)","png formatted warning","","png","300766474024"
"png_benign_error","FunctionDecl",361,389,"void (png_const_structrp, png_const_charp)","png benign error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","300523687678"
"png_app_warning","FunctionDecl",391,402,"void (png_const_structrp, png_const_charp)","png app warning","","png | app","301043381519"
"png_app_error","FunctionDecl",404,415,"void (png_const_structrp, png_const_charp)","png app error","error : Time Complexity / Space Complexity/ Memory/ Exception","png | app","300114641731"
"png_format_buffer","FunctionDecl",433,475,"void (png_const_structrp, png_charp, png_const_charp)","png format buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","302721321276"
"png_chunk_error","FunctionDecl",481,492,"void (png_const_structrp, png_const_charp) __attribute__((noreturn))","png chunk error","error : Time Complexity / Space Complexity/ Memory/ Exception","png | chunk","300156002068"
"png_chunk_warning","FunctionDecl",496,508,"void (png_const_structrp, png_const_charp)","png chunk warning","","png | chunk","301644528383"
