"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"png_ptr","UnexposedExpr",23,23,"const png_struct *","png ptr","","png","402715492151"
"info_ptr","UnexposedExpr",23,23,"const png_info *","info ptr","","","400983893572"
"valid","UnexposedExpr",24,24,"png_uint_32","valid","valid : Operations as part of Algorithms","","402788936200"
"info_ptr","UnexposedExpr",24,24,"const png_info *","info ptr","","","403058562816"
"flag","UnexposedExpr",24,24,"png_uint_32","flag","","","403313590785"
"png_ptr","UnexposedExpr",32,32,"const png_struct *","png ptr","","png","402637886586"
"info_ptr","UnexposedExpr",32,32,"const png_info *","info ptr","","","402836783660"
"info_ptr","UnexposedExpr",33,33,"const png_info *","info ptr","","","402002907720"
"png_ptr","UnexposedExpr",42,42,"const png_struct *","png ptr","","png","402007470710"
"info_ptr","UnexposedExpr",42,42,"const png_info *","info ptr","","","400528969764"
"info_ptr","UnexposedExpr",43,43,"const png_info *","info ptr","","","403355227763"
"png_ptr","UnexposedExpr",54,54,"const png_struct *","png ptr","","png","403925200191"
"info_ptr","UnexposedExpr",54,54,"const png_info *","info ptr","","","402642970551"
"width","UnexposedExpr",55,55,"png_uint_32","width","","","401895926713"
"info_ptr","UnexposedExpr",55,55,"const png_info *","info ptr","","","401603876449"
"png_ptr","UnexposedExpr",63,63,"const png_struct *","png ptr","","png","400411756487"
"info_ptr","UnexposedExpr",63,63,"const png_info *","info ptr","","","402236909730"
"height","UnexposedExpr",64,64,"png_uint_32","height","height : Data-Structure and its Components","","401835312787"
"info_ptr","UnexposedExpr",64,64,"const png_info *","info ptr","","","403822197814"
"png_ptr","UnexposedExpr",72,72,"const png_struct *","png ptr","","png","402913234483"
"info_ptr","UnexposedExpr",72,72,"const png_info *","info ptr","","","404074348627"
"bit_depth","UnexposedExpr",73,73,"png_byte","bit depth","bit : Data-Structure and its Components","depth","403627367138"
"info_ptr","UnexposedExpr",73,73,"const png_info *","info ptr","","","401524719761"
"png_ptr","UnexposedExpr",81,81,"const png_struct *","png ptr","","png","403447965222"
"info_ptr","UnexposedExpr",81,81,"const png_info *","info ptr","","","400452624979"
"color_type","UnexposedExpr",82,82,"png_byte","color type","","color","400803082886"
"info_ptr","UnexposedExpr",82,82,"const png_info *","info ptr","","","403552860237"
"png_ptr","UnexposedExpr",90,90,"const png_struct *","png ptr","","png","400406603099"
"info_ptr","UnexposedExpr",90,90,"const png_info *","info ptr","","","403282253023"
"filter_type","UnexposedExpr",91,91,"png_byte","filter type","","","402864341182"
"info_ptr","UnexposedExpr",91,91,"const png_info *","info ptr","","","402891490385"
"png_ptr","UnexposedExpr",99,99,"const png_struct *","png ptr","","png","403567584586"
"info_ptr","UnexposedExpr",99,99,"const png_info *","info ptr","","","402791210799"
"interlace_type","UnexposedExpr",100,100,"png_byte","interlace type","","","401727602978"
"info_ptr","UnexposedExpr",100,100,"const png_info *","info ptr","","","404023810150"
"png_ptr","UnexposedExpr",108,108,"const png_struct *","png ptr","","png","400145593997"
"info_ptr","UnexposedExpr",108,108,"const png_info *","info ptr","","","401845552763"
"compression_type","UnexposedExpr",109,109,"png_byte","compression type","","compression","401069873070"
"info_ptr","UnexposedExpr",109,109,"const png_info *","info ptr","","","402436790176"
"png_ptr","UnexposedExpr",119,119,"const png_struct *","png ptr","","png","402150187788"
"info_ptr","UnexposedExpr",119,119,"const png_info *","info ptr","","","401416096746"
"valid","UnexposedExpr",120,120,"png_uint_32","valid","valid : Operations as part of Algorithms","","400266472284"
"info_ptr","UnexposedExpr",120,120,"const png_info *","info ptr","","","403391031691"
"phys_unit_type","UnexposedExpr",125,125,"int","phys unit type","","phys | unit","403667117426"
"phys_unit_type","UnexposedExpr",125,125,"png_byte","phys unit type","","phys | unit","403660963649"
"info_ptr","UnexposedExpr",125,125,"const png_info *","info ptr","","","400705467144"
"info_ptr","UnexposedExpr",126,126,"const png_info *","info ptr","","","403744535848"
"png_ptr","UnexposedExpr",141,141,"const png_struct *","png ptr","","png","400732811130"
"info_ptr","UnexposedExpr",141,141,"const png_info *","info ptr","","","401490387555"
"valid","UnexposedExpr",142,142,"png_uint_32","valid","valid : Operations as part of Algorithms","","403084202576"
"info_ptr","UnexposedExpr",142,142,"const png_info *","info ptr","","","402705499632"
"phys_unit_type","UnexposedExpr",147,147,"int","phys unit type","","phys | unit","401915319759"
"phys_unit_type","UnexposedExpr",147,147,"png_byte","phys unit type","","phys | unit","401973497031"
"info_ptr","UnexposedExpr",147,147,"const png_info *","info ptr","","","400091790467"
"info_ptr","UnexposedExpr",148,148,"const png_info *","info ptr","","","402388869839"
"png_ptr","UnexposedExpr",162,162,"const png_struct *","png ptr","","png","403295971183"
"info_ptr","UnexposedExpr",162,162,"const png_info *","info ptr","","","404234645404"
