"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"buffer_size","MemberRefExpr",44,44,"size_t","buffer size","buffer : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","","603094208888"
"buffer_size","MemberRefExpr",63,63,"size_t","buffer size","buffer : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","","600617054492"
"buffer_size","MemberRefExpr",64,64,"size_t","buffer size","buffer : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","","603571857269"
"save_buffer_size","MemberRefExpr",69,69,"size_t","save buffer size","buffer : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","","601021386697"
"save_buffer_size","MemberRefExpr",70,70,"size_t","save buffer size","buffer : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","","601963571265"
"process_mode","MemberRefExpr",99,99,"int","process mode","process : Operations as part of Algorithms | mode : Operations as part of Data structure","","600898169871"
"buffer_size","MemberRefExpr",121,121,"size_t","buffer size","buffer : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","","600739077079"
"sig_bytes","MemberRefExpr",136,136,"png_byte","sig bytes","bytes : Time Complexity / Space Complexity/ Memory/ Exception","","602343362370"
"buffer_size","MemberRefExpr",139,139,"size_t","buffer size","buffer : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","","602096160590"
"buffer_size","MemberRefExpr",141,141,"size_t","buffer size","buffer : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","","601087526283"
"signature","MemberRefExpr",144,144,"png_byte [8]","signature","","signature","600698813147"
"sig_bytes","MemberRefExpr",146,146,"png_byte","sig bytes","bytes : Time Complexity / Space Complexity/ Memory/ Exception","","603405546535"
"sig_bytes","MemberRefExpr",146,146,"png_byte","sig bytes","bytes : Time Complexity / Space Complexity/ Memory/ Exception","","602876145463"
"signature","MemberRefExpr",148,148,"png_byte [8]","signature","","signature","600562123139"
