"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"bad_background","LabelStmt",2933,2934,"","bad background","","background","702536817508"
"bad_output","LabelStmt",3204,3205,"","bad output","output : Data-Structure and its Components","","703642266800"
"bad_background","LabelStmt",2933,2934,"","bad background","","background","702536817508"
"bad_output","LabelStmt",3204,3205,"","bad output","output : Data-Structure and its Components","","703642266800"
"mode","MemberRefExpr",51,51,"png_uint_32","mode","mode : Operations as part of Data structure","","703222847293"
"IDAT_read_size","MemberRefExpr",57,57,"uInt","IDAT read size","read : Operations as part of Data structure | size : Data-Structure and its Components","idat","701635372548"
"flags","MemberRefExpr",61,61,"png_uint_32","flags","","","701615021783"
"chunk_name","MemberRefExpr",109,109,"png_uint_32","chunk name","","chunk","703327063643"
"mode","MemberRefExpr",116,116,"png_uint_32","mode","mode : Operations as part of Data structure","","701790878136"
"color_type","MemberRefExpr",119,119,"png_byte","color type","","color","702401019186"
"mode","MemberRefExpr",120,120,"png_uint_32","mode","mode : Operations as part of Data structure","","701857218693"
"mode","MemberRefExpr",123,123,"png_uint_32","mode","mode : Operations as part of Data structure","","703197039886"
"mode","MemberRefExpr",126,126,"png_uint_32","mode","mode : Operations as part of Data structure","","700281696853"
"mode","MemberRefExpr",129,129,"png_uint_32","mode","mode : Operations as part of Data structure","","703523199290"
"mode","MemberRefExpr",131,131,"png_uint_32","mode","mode : Operations as part of Data structure","","701022435013"
"mode","MemberRefExpr",132,132,"png_uint_32","mode","mode : Operations as part of Data structure","","701325154842"
"mode","MemberRefExpr",150,150,"png_uint_32","mode","mode : Operations as part of Data structure","","700322668000"
"idat_size","MemberRefExpr",154,154,"png_uint_32","idat size","size : Data-Structure and its Components","idat","701582899629"
"idat_size","MemberRefExpr",164,164,"png_uint_32","idat size","size : Data-Structure and its Components","idat","703344576129"
"flags","MemberRefExpr",273,273,"png_uint_32","flags","","","700457162215"
"flags","MemberRefExpr",304,304,"png_uint_32","flags","","","701576226221"
"color_type","MemberRefExpr",326,326,"png_byte","color type","","color","700261340149"
"width","MemberRefExpr",329,329,"png_uint_32","width","","","700128164150"
"bit_depth","MemberRefExpr",331,331,"png_byte","bit depth","bit : Data-Structure and its Components","depth","703159837290"
"color_type","MemberRefExpr",336,336,"png_byte","color type","","color","702645347890"
"color_type","MemberRefExpr",339,339,"png_byte","color type","","color","700319461313"
"bit_depth","MemberRefExpr",351,351,"png_byte","bit depth","bit : Data-Structure and its Components","depth","701421539576"
"color_type","MemberRefExpr",356,356,"png_byte","color type","","color","700494549475"
"color_type","MemberRefExpr",359,359,"png_byte","color type","","color","703392299945"
"flags","MemberRefExpr",396,396,"png_uint_32","flags","","","702375603557"
"width","MemberRefExpr",400,400,"png_uint_32","width","","","700086912220"
"iwidth","MemberRefExpr",400,400,"png_uint_32","iwidth","","","703698105987"
"color_type","MemberRefExpr",401,401,"png_byte","color type","","color","701763037588"
"color_type","MemberRefExpr",401,401,"png_byte","color type","","color","702038393004"
"bit_depth","MemberRefExpr",402,402,"png_byte","bit depth","bit : Data-Structure and its Components","depth","703937292194"
"bit_depth","MemberRefExpr",402,402,"png_byte","bit depth","bit : Data-Structure and its Components","depth","702714605400"
"channels","MemberRefExpr",403,403,"png_byte","channels","","","700542874499"
"channels","MemberRefExpr",403,403,"png_byte","channels","","","700331482892"
"pixel_depth","MemberRefExpr",404,404,"png_byte","pixel depth","","pixel | depth","703650702837"
"pixel_depth","MemberRefExpr",404,404,"png_byte","pixel depth","","pixel | depth","702964663501"
"rowbytes","MemberRefExpr",405,405,"size_t","rowbytes","","","700006887754"
"pixel_depth","MemberRefExpr",405,405,"png_byte","pixel depth","","pixel | depth","700066924374"
"width","MemberRefExpr",405,405,"png_uint_32","width","","","704287219694"
"pixel_depth","MemberRefExpr",405,405,"png_byte","pixel depth","","pixel | depth","702192499793"
"width","MemberRefExpr",405,405,"png_uint_32","width","","","700473666422"
"pixel_depth","MemberRefExpr",405,405,"png_byte","pixel depth","","pixel | depth","701238836909"
"row_number","MemberRefExpr",408,408,"png_uint_32","row number","number : Data-Structure and its Components","","702240456011"
"pass","MemberRefExpr",408,408,"png_byte","pass","","","703864383909"
"interlaced","MemberRefExpr",456,456,"png_byte","interlaced","","interlaced","703116026944"
"transformations","MemberRefExpr",457,457,"png_uint_32","transformations","","","702477981161"
"pass","MemberRefExpr",459,459,"png_byte","pass","","","701691521884"
"row_number","MemberRefExpr",462,462,"png_uint_32","row number","number : Data-Structure and its Components","","704037795009"
"row_number","MemberRefExpr",472,472,"png_uint_32","row number","number : Data-Structure and its Components","","702098222858"
"width","MemberRefExpr",472,472,"png_uint_32","width","","","700837534979"
"row_number","MemberRefExpr",483,483,"png_uint_32","row number","number : Data-Structure and its Components","","700571295358"
"row_number","MemberRefExpr",485,485,"png_uint_32","row number","number : Data-Structure and its Components","","703088872861"
"row_number","MemberRefExpr",494,494,"png_uint_32","row number","number : Data-Structure and its Components","","701448777202"
"width","MemberRefExpr",494,494,"png_uint_32","width","","","702632965382"
"row_number","MemberRefExpr",505,505,"png_uint_32","row number","number : Data-Structure and its Components","","703278401828"
"row_number","MemberRefExpr",507,507,"png_uint_32","row number","number : Data-Structure and its Components","","703462699956"
"row_number","MemberRefExpr",516,516,"png_uint_32","row number","number : Data-Structure and its Components","","702474941339"
"width","MemberRefExpr",516,516,"png_uint_32","width","","","702583351367"
"row_number","MemberRefExpr",528,528,"png_uint_32","row number","number : Data-Structure and its Components","","701455445063"
"mode","MemberRefExpr",538,538,"png_uint_32","mode","mode : Operations as part of Data structure","","704044545437"
"row_buf","MemberRefExpr",542,542,"png_bytep","row buf","","","700088807841"
"row_buf","MemberRefExpr",543,543,"png_bytep","row buf","","","700992618690"
"rowbytes","MemberRefExpr",543,543,"size_t","rowbytes","","","703848268838"
"row_buf","MemberRefExpr",545,545,"png_bytep","row buf","","","702492665814"
"row_buf","MemberRefExpr",547,547,"png_bytep","row buf","","","700254441726"
"row_buf","MemberRefExpr",548,548,"png_bytep","row buf","","","704283511242"
"prev_row","MemberRefExpr",549,549,"png_bytep","prev row","prev : Data-Structure and its Components","","702592991896"
"row_buf","MemberRefExpr",549,549,"png_bytep","row buf","","","704282122802"
"prev_row","MemberRefExpr",559,559,"png_bytep","prev row","prev : Data-Structure and its Components","","700385737913"
"row_buf","MemberRefExpr",559,559,"png_bytep","row buf","","","702277062527"
"rowbytes","MemberRefExpr",559,559,"size_t","rowbytes","","","700948329717"
"mng_features_permitted","MemberRefExpr",562,562,"png_uint_32","mng features permitted","","mng","702863987059"
"filter_type","MemberRefExpr",563,563,"png_byte","filter type","","","702003301271"
"row_buf","MemberRefExpr",566,566,"png_bytep","row buf","","","701256355320"
"transformations","MemberRefExpr",571,571,"png_uint_32","transformations","","","704051149237"
"transformed_pixel_depth","MemberRefExpr",576,576,"png_byte","transformed pixel depth","","pixel | depth","702260322097"
"transformed_pixel_depth","MemberRefExpr",578,578,"png_byte","transformed pixel depth","","pixel | depth","700904143603"
"pixel_depth","MemberRefExpr",578,578,"png_byte","pixel depth","","pixel | depth","701115082972"
"pixel_depth","MemberRefExpr",579,579,"png_byte","pixel depth","","pixel | depth","701106917019"
"maximum_pixel_depth","MemberRefExpr",579,579,"png_byte","maximum pixel depth","maximum : Operations as part of Data structure","pixel | depth","701792251350"
"transformed_pixel_depth","MemberRefExpr",583,583,"png_byte","transformed pixel depth","","pixel | depth","700447712135"
