"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"png_read_data","FunctionDecl",31,41,"void (png_structrp, png_bytep, size_t)","png read data","read : Operations as part of Data structure | data : Data-Structure and its Components","png","803685609693"
"png_default_read_data","FunctionDecl",49,64,"void (png_structp, png_bytep, size_t)","png default read data","default : Properties of Datastructure / Function / Blocks | read : Operations as part of Data structure | data : Data-Structure and its Components","png","804074337306"
"png_set_read_fn","FunctionDecl",86,119,"void (png_structrp, png_voidp, png_rw_ptr)","png set read fn","set : Data-Structure and its Components | read : Operations as part of Data structure","png","802603090358"
"png_ptr","ParmDecl",32,32,"png_structrp","png ptr","","png","803304328168"
"data","ParmDecl",32,32,"png_bytep","data","data : Data-Structure and its Components","","803571016547"
"length","ParmDecl",32,32,"size_t","length","length : Operations as part of Algorithms","","803475470901"
"png_ptr","ParmDecl",50,50,"png_structp","png ptr","","png","802690683591"
"data","ParmDecl",50,50,"png_bytep","data","data : Data-Structure and its Components","","800708074125"
"length","ParmDecl",50,50,"size_t","length","length : Operations as part of Algorithms","","802854187684"
"png_ptr","ParmDecl",87,87,"png_structrp","png ptr","","png","802430138464"
"io_ptr","ParmDecl",87,87,"png_voidp","io ptr","","","800535753546"
"read_data_fn","ParmDecl",88,88,"png_rw_ptr","read data fn","read : Operations as part of Data structure | data : Data-Structure and its Components","","800430616870"
"png_structrp","TypeRef",32,32,"png_structrp","png structrp","","png","801033237468"
"png_bytep","TypeRef",32,32,"png_bytep","png bytep","","png","803950592824"
"size_t","TypeRef",32,32,"size_t","size t","size : Data-Structure and its Components","","801410845955"
"png_structp","TypeRef",50,50,"png_structp","png structp","","png","801656764464"
"png_bytep","TypeRef",50,50,"png_bytep","png bytep","","png","803950592824"
"size_t","TypeRef",50,50,"size_t","size t","size : Data-Structure and its Components","","801410845955"
"size_t","TypeRef",52,52,"size_t","size t","size : Data-Structure and its Components","","801410845955"
"png_structrp","TypeRef",87,87,"png_structrp","png structrp","","png","801033237468"
"png_voidp","TypeRef",87,87,"png_voidp","png voidp","","png","801707904937"
"png_rw_ptr","TypeRef",88,88,"png_rw_ptr","png rw ptr","","png","800506881502"
"read_data_fn","UnexposedExpr",36,36,"png_rw_ptr","read data fn","read : Operations as part of Data structure | data : Data-Structure and its Components","","800875328689"
"png_ptr","UnexposedExpr",36,36,"png_struct *","png ptr","","png","800122531555"
"png_ptr","UnexposedExpr",37,37,"png_struct *","png ptr","","png","803396198126"
"png_ptr","UnexposedExpr",37,37,"png_struct *","png ptr","","png","802316719629"
"data","UnexposedExpr",37,37,"png_bytep","data","data : Data-Structure and its Components","","800585809198"
"length","UnexposedExpr",37,37,"size_t","length","length : Operations as part of Algorithms","","800405484271"
