"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"png_set_crc_action","FunctionDecl",35,101,"void (png_structrp, int, int)","png set crc action","set : Data-Structure and its Components","png | crc","904220430656"
"png_rtran_ok","FunctionDecl",109,131,"int (png_structrp, int)","png rtran ok","","png","900335888457"
"png_set_background_fixed","FunctionDecl",136,163,"void (png_structrp, png_const_color_16p, int, int, png_fixed_point)","png set background fixed","set : Data-Structure and its Components","png | background","900560824937"
"png_set_background","FunctionDecl",166,173,"void (png_structrp, png_const_color_16p, int, int, double)","png set background","set : Data-Structure and its Components","png | background","902730925937"
"png_set_scale_16","FunctionDecl",182,191,"void (png_structrp)","png set scale 16","set : Data-Structure and its Components","png","900400186876"
"png_set_strip_16","FunctionDecl",196,205,"void (png_structrp)","png set strip 16","set : Data-Structure and its Components","png","903161377038"
"png_set_strip_alpha","FunctionDecl",209,218,"void (png_structrp)","png set strip alpha","set : Data-Structure and its Components","png | alpha","903088124992"
"translate_gamma_flags","FunctionDecl",222,258,"png_fixed_point (png_structrp, png_fixed_point, int)","translate gamma flags","","gamma","903379096440"
"convert_gamma_value","FunctionDecl",261,281,"png_fixed_point (png_structrp, double)","convert gamma value","convert : Operations as part of Algorithms | value : Data-Structure and its Components","gamma","902738292064"
"png_set_alpha_mode_fixed","FunctionDecl",286,396,"void (png_structrp, int, png_fixed_point)","png set alpha mode fixed","set : Data-Structure and its Components | mode : Operations as part of Data structure","png | alpha","903713561157"
"png_set_alpha_mode","FunctionDecl",399,404,"void (png_structrp, int, double)","png set alpha mode","set : Data-Structure and its Components | mode : Operations as part of Data structure","png | alpha","903578401078"
"png_set_quantize","FunctionDecl",427,813,"void (png_structrp, png_colorp, int, int, png_const_uint_16p, int)","png set quantize","set : Data-Structure and its Components","png","903651103993"
"png_set_gamma_fixed","FunctionDecl",817,854,"void (png_structrp, png_fixed_point, png_fixed_point)","png set gamma fixed","set : Data-Structure and its Components","png | gamma","900492736035"
"png_set_gamma","FunctionDecl",857,862,"void (png_structrp, double, double)","png set gamma","set : Data-Structure and its Components","png | gamma","903880336315"
"png_set_expand","FunctionDecl",871,880,"void (png_structrp)","png set expand","set : Data-Structure and its Components | expand : Operations as part of Data structure","png","903145931924"
"png_set_palette_to_rgb","FunctionDecl",901,910,"void (png_structrp)","png set palette to rgb","set : Data-Structure and its Components","png | palette | rgb","903201245664"
"png_set_expand_gray_1_2_4_to_8","FunctionDecl",913,922,"void (png_structrp)","png set expand gray 1 2 4 to 8","set : Data-Structure and its Components | expand : Operations as part of Data structure","png | gray","903257553082"
