"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"png_get_uint_31","FunctionDecl",21,30,"png_uint_32 (png_const_structrp, png_const_bytep)","png get uint 31","get : Operations as part of Data structure","png","1002373089961"
"png_get_fixed_point","FunctionDecl",40,53,"png_fixed_point (png_structrp, png_const_bytep)","png get fixed point","get : Operations as part of Data structure","png","1003612999738"
"png_get_uint_32","FunctionDecl",67,77,"png_uint_32 (png_const_bytep)","png get uint 32","get : Operations as part of Data structure","png","1002319388196"
"png_get_int_32","FunctionDecl",84,99,"png_int_32 (png_const_bytep)","png get int 32","get : Operations as part of Data structure | int : Properties of Datastructure / Function / Blocks","png","1003031363724"
"png_get_uint_16","FunctionDecl",102,115,"png_uint_16 (png_const_bytep)","png get uint 16","get : Operations as part of Data structure","png","1003274204824"
"png_read_sig","FunctionDecl",120,150,"void (png_structrp, png_inforp)","png read sig","read : Operations as part of Data structure","png","1000791463734"
"png_read_chunk_header","FunctionDecl",155,192,"png_uint_32 (png_structrp)","png read chunk header","read : Operations as part of Data structure","png | chunk","1001072526661"
"png_crc_read","FunctionDecl",195,203,"void (png_structrp, png_bytep, png_uint_32)","png crc read","read : Operations as part of Data structure","png | crc","1000127668449"
"png_crc_finish","FunctionDecl",210,245,"int (png_structrp, png_uint_32)","png crc finish","","png | crc","1000637601349"
"png_crc_error","FunctionDecl",250,285,"int (png_structrp)","png crc error","error : Time Complexity / Space Complexity/ Memory/ Exception","png | crc","1004077693060"
"png_read_buffer","FunctionDecl",297,332,"png_bytep (png_structrp, png_alloc_size_t, int)","png read buffer","read : Operations as part of Data structure | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","1001154631243"
"png_inflate_claim","FunctionDecl",340,443,"int (png_structrp, png_uint_32)","png inflate claim","","png","1001598345843"
"png_zlib_inflate","FunctionDecl",452,467,"int (png_structrp, int)","png zlib inflate","","png | zlib","1002510863070"
"png_inflate","FunctionDecl",483,599,"int (png_structrp, png_uint_32, int, png_const_bytep, png_uint_32p, png_bytep, png_alloc_size_t *)","png inflate","","png","1001966401821"
"png_decompress_chunk","FunctionDecl",608,764,"int (png_structrp, png_uint_32, png_uint_32, png_alloc_size_t *, int)","png decompress chunk","","png | chunk","1002826032752"
"png_inflate_read","FunctionDecl",772,832,"int (png_structrp, png_bytep, uInt, png_uint_32p, png_bytep, png_alloc_size_t *, int)","png inflate read","read : Operations as part of Data structure","png","1003809194263"
"png_handle_IHDR","FunctionDecl",837,908,"void (png_structrp, png_inforp, png_uint_32)","png handle IHDR","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","1001191418731"
"png_handle_PLTE","FunctionDecl",911,1096,"void (png_structrp, png_inforp, png_uint_32)","png handle PLTE","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","1001663035642"
"png_handle_IEND","FunctionDecl",1098,1115,"void (png_structrp, png_inforp, png_uint_32)","png handle IEND","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","1001559097622"
"png_handle_gAMA","FunctionDecl",1118,1152,"void (png_structrp, png_inforp, png_uint_32)","png handle g AMA","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","1003065410659"
"png_handle_sBIT","FunctionDecl",1156,1234,"void (png_structrp, png_inforp, png_uint_32)","png handle s BIT","handle : Time Complexity / Space Complexity/ Memory/ Exception | bit : Data-Structure and its Components","png","1003198339745"
"png_handle_cHRM","FunctionDecl",1238,1306,"void (png_structrp, png_inforp, png_uint_32)","png handle c HRM","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","1003655593808"
"png_handle_sRGB","FunctionDecl",1310,1356,"void (png_structrp, png_inforp, png_uint_32)","png handle s RGB","handle : Time Complexity / Space Complexity/ Memory/ Exception","png | rgb","1000915780069"
