"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"""cHRM White X""","StringLiteral",107,107,"char [13]","""c HRM White X""","","","1102916359507"
"""cHRM White Y""","StringLiteral",108,108,"char [13]","""c HRM White Y""","","","1103464709226"
"""cHRM Red X""","StringLiteral",109,109,"char [11]","""c HRM Red X""","","","1102136143874"
"""cHRM Red Y""","StringLiteral",110,110,"char [11]","""c HRM Red Y""","","","1104140170928"
"""cHRM Green X""","StringLiteral",111,111,"char [13]","""c HRM Green X""","","","1102394552923"
"""cHRM Green Y""","StringLiteral",112,112,"char [13]","""c HRM Green Y""","","","1102722400573"
"""cHRM Blue X""","StringLiteral",113,113,"char [12]","""c HRM Blue X""","","","1103317211825"
"""cHRM Blue Y""","StringLiteral",114,114,"char [12]","""c HRM Blue Y""","","","1100169522276"
"""cHRM Red X""","StringLiteral",123,123,"char [11]","""c HRM Red X""","","","1104084466899"
"""cHRM Red Y""","StringLiteral",124,124,"char [11]","""c HRM Red Y""","","","1101641095331"
"""cHRM Red Z""","StringLiteral",125,125,"char [11]","""c HRM Red Z""","","","1103642375501"
"""cHRM Green X""","StringLiteral",126,126,"char [13]","""c HRM Green X""","","","1100197969410"
"""cHRM Green Y""","StringLiteral",127,127,"char [13]","""c HRM Green Y""","","","1103912439880"
"""cHRM Green Z""","StringLiteral",128,128,"char [13]","""c HRM Green Z""","","","1101756710421"
"""cHRM Blue X""","StringLiteral",129,129,"char [12]","""c HRM Blue X""","","","1103095070985"
"""cHRM Blue Y""","StringLiteral",130,130,"char [12]","""c HRM Blue Y""","","","1100008091424"
"""cHRM Blue Z""","StringLiteral",131,131,"char [12]","""c HRM Blue Z""","","","1102031619445"
"""png_set_eXIf does not work; use png_set_eXIf_1""","StringLiteral",142,142,"char [47]","""png set e XIf does not work; use png set e XIf 1""","set : Data-Structure and its Components | set : Data-Structure and its Components","","1102141359273"
"""Insufficient memory for eXIf chunk data""","StringLiteral",171,171,"char [40]","""Insufficient memory for e XIf chunk data""","memory : Time Complexity / Space Complexity/ Memory/ Exception | for : Operations as part of Algorithms","","1102410528983"
"""png_set_gAMA""","StringLiteral",203,203,"char [13]","""png set g AMA""","set : Data-Structure and its Components","","1102029354145"
"""Invalid palette size, hIST allocation skipped""","StringLiteral",224,224,"char [46]","""Invalid palette size, h IST allocation skipped""","allocation : Time Complexity / Space Complexity/ Memory/ Exception","","1101021892657"
"""Insufficient memory for hIST chunk data""","StringLiteral",239,239,"char [40]","""Insufficient memory for h IST chunk data""","memory : Time Complexity / Space Complexity/ Memory/ Exception | for : Operations as part of Algorithms","","1100258611143"
"""Invalid pCAL equation type""","StringLiteral",334,334,"char [27]","""Invalid p CAL equation type""","","","1102575994043"
"""Invalid pCAL parameter count""","StringLiteral",341,341,"char [29]","""Invalid p CAL parameter count""","","","1103292753235"
"""Invalid format for pCAL parameter""","StringLiteral",352,352,"char [34]","""Invalid format for p CAL parameter""","for : Operations as part of Algorithms","","1103068823707"
"""Insufficient memory for pCAL purpose""","StringLiteral",363,363,"char [37]","""Insufficient memory for p CAL purpose""","memory : Time Complexity / Space Complexity/ Memory/ Exception | for : Operations as part of Algorithms","","1101628975521"
"""Insufficient memory for pCAL units""","StringLiteral",385,385,"char [35]","""Insufficient memory for p CAL units""","memory : Time Complexity / Space Complexity/ Memory/ Exception | for : Operations as part of Algorithms","","1100500814634"
"""Insufficient memory for pCAL params""","StringLiteral",397,397,"char [36]","""Insufficient memory for p CAL params""","memory : Time Complexity / Space Complexity/ Memory/ Exception | for : Operations as part of Algorithms","","1100008717761"
"""Insufficient memory for pCAL parameter""","StringLiteral",415,415,"char [39]","""Insufficient memory for p CAL parameter""","memory : Time Complexity / Space Complexity/ Memory/ Exception | for : Operations as part of Algorithms","","1101894392591"
"""Invalid sCAL unit""","StringLiteral",444,444,"char [18]","""Invalid s CAL unit""","","","1104036525827"
"""Invalid sCAL width""","StringLiteral",448,448,"char [19]","""Invalid s CAL width""","","","1104261025401"
"""Invalid sCAL height""","StringLiteral",452,452,"char [20]","""Invalid s CAL height""","","","1100895504872"
"""Memory allocation failed while processing sCAL""","StringLiteral",465,465,"char [47]","""Memory allocation failed while processing s CAL""","allocation : Time Complexity / Space Complexity/ Memory/ Exception | while : Operations as part of Algorithms | processing : Operations as part of Algorithms","","1102875600666"
"""Memory allocation failed while processing sCAL""","StringLiteral",484,484,"char [47]","""Memory allocation failed while processing s CAL""","allocation : Time Complexity / Space Complexity/ Memory/ Exception | while : Operations as part of Algorithms | processing : Operations as part of Algorithms","","1100695634026"
"""Invalid sCAL width ignored""","StringLiteral",504,504,"char [27]","""Invalid s CAL width ignored""","","","1100477070077"
"""Invalid sCAL height ignored""","StringLiteral",507,507,"char [28]","""Invalid s CAL height ignored""","height : Data-Structure and its Components","","1103724040417"
"""Invalid sCAL width ignored""","StringLiteral",534,534,"char [27]","""Invalid s CAL width ignored""","","","1102742206031"
"""Invalid sCAL height ignored""","StringLiteral",537,537,"char [28]","""Invalid s CAL height ignored""","height : Data-Structure and its Components","","1100903170439"
"""Invalid palette length""","StringLiteral",589,589,"char [23]","""Invalid palette length""","","","1102617282884"
"""Invalid palette length""","StringLiteral",593,593,"char [23]","""Invalid palette length""","","","1103463524631"
"""Invalid palette""","StringLiteral",606,606,"char [16]","""Invalid palette""","","","1100315341426"
"""Invalid iCCP compression method""","StringLiteral",702,702,"char [32]","""Invalid i CCP compression method""","","","1103065819825"
"""Insufficient memory to process iCCP chunk""","StringLiteral",730,730,"char [42]","""Insufficient memory to process i CCP chunk""","memory : Time Complexity / Space Complexity/ Memory/ Exception | process : Operations as part of Algorithms","","1101763973435"
"""Insufficient memory to process iCCP profile""","StringLiteral",743,743,"char [44]","""Insufficient memory to process i CCP profile""","memory : Time Complexity / Space Complexity/ Memory/ Exception | process : Operations as part of Algorithms","","1101695914062"
"""Insufficient memory to store text""","StringLiteral",769,769,"char [34]","""Insufficient memory to store text""","memory : Time Complexity / Space Complexity/ Memory/ Exception | store : Time Complexity / Space Complexity/ Memory/ Exception","","1102921375651"
"""too many text chunks""","StringLiteral",818,818,"char [21]","""too many text chunks""","","","1102187406983"
"""text compression mode is out of range""","StringLiteral",846,846,"char [38]","""text compression mode is out of range""","mode : Operations as part of Data structure | out : Properties of Datastructure / Function / Blocks","","1102808896381"
"""text chunk: out of memory""","StringLiteral",907,907,"char [26]","""text chunk: out of memory""","out : Properties of Datastructure / Function / Blocks","","1100707571518"
"""Ignoring invalid time value""","StringLiteral",982,982,"char [28]","""Ignoring invalid time value""","time : Time Complexity / Space Complexity/ Memory/ Exception","","1101649733402"
"""tRNS chunk has out-of-range samples for bit_depth""","StringLiteral",1040,1040,"char [50]","""t RNS chunk has out-of-range samples for bit depth""","samples : Data-Structure and its Components | for : Operations as part of Algorithms | bit : Data-Structure and its Components","","1103694358098"
"""too many sPLT chunks""","StringLiteral",1088,1088,"char [21]","""too many s PLT chunks""","","","1100510047116"
"""png_set_sPLT: invalid sPLT""","StringLiteral",1107,1107,"char [27]","""png set s PLT: invalid s PLT""","set : Data-Structure and its Components","","1102189553667"
"""sPLT out of memory""","StringLiteral",1157,1157,"char [19]","""s PLT out of memory""","out : Properties of Datastructure / Function / Blocks","","1100339781611"
"""png_set_unknown_chunks now expects a valid location""","StringLiteral",1175,1175,"char [52]","""png set unknown chunks now expects a valid location""","set : Data-Structure and its Components | valid : Operations as part of Algorithms","","1101054624037"
"""invalid location in png_set_unknown_chunks""","StringLiteral",1185,1185,"char [43]","""invalid location in png set unknown chunks""","set : Data-Structure and its Components","","1101542480393"
"""too many unknown chunks""","StringLiteral",1245,1245,"char [24]","""too many unknown chunks""","","","1101999127594"
"""unknown chunk: out of memory""","StringLiteral",1279,1279,"char [29]","""unknown chunk: out of memory""","out : Properties of Datastructure / Function / Blocks","","1100330111905"
"""invalid unknown chunk location""","StringLiteral",1312,1312,"char [31]","""invalid unknown chunk location""","","","1103724706082"
"""png_set_keep_unknown_chunks: invalid keep""","StringLiteral",1383,1383,"char [42]","""png set keep unknown chunks: invalid keep""","set : Data-Structure and its Components","","1100048284663"
"""png_set_keep_unknown_chunks: no chunk list""","StringLiteral",1434,1434,"char [43]","""png set keep unknown chunks: no chunk list""","set : Data-Structure and its Components","","1103560714071"
"""png_set_keep_unknown_chunks: too many chunks""","StringLiteral",1450,1450,"char [45]","""png set keep unknown chunks: too many chunks""","set : Data-Structure and its Components","","1101117402533"
"""invalid compression buffer size""","StringLiteral",1572,1572,"char [32]","""invalid compression buffer size""","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","1103891187596"
"""Compression buffer size cannot be changed because it is in use""","StringLiteral",1588,1588,"char [63]","""Compression buffer size cannot be changed because it is in use""","buffer : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","","1101253751371"
"""Compression buffer size limited to system maximum""","StringLiteral",1600,1600,"char [50]","""Compression buffer size limited to system maximum""","buffer : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","","1103420986563"
"""Compression buffer size cannot be reduced below 6""","StringLiteral",1611,1611,"char [50]","""Compression buffer size cannot be reduced below 6""","buffer : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components | reduced : Operations as part of Algorithms","","1100186943741"
"""keyword truncated""","StringLiteral",1784,1784,"char [18]","""keyword truncated""","","","1101612405630"
"""keyword \""@1\"": bad character '0x@2'""","StringLiteral",1793,1793,"char [35]","""keyword \""@1\"": bad character '0x@2'""","character : Data-Structure and its Components","","1103447298069"
"png_colorspace_set_chromaticities","CallExpr",61,62,"int","png colorspace set chromaticities","set : Data-Structure and its Components","png | colorspace","1102253621584"
"png_colorspace_sync_info","CallExpr",65,65,"void","png colorspace sync info","","png | colorspace","1103002666660"
"png_colorspace_set_endpoints","CallExpr",93,94,"int","png colorspace set endpoints","set : Data-Structure and its Components","png | colorspace","1104231413739"
"png_colorspace_sync_info","CallExpr",97,97,"void","png colorspace sync info","","png | colorspace","1102087411411"
"png_set_cHRM_fixed","CallExpr",106,114,"void","png set c HRM fixed","set : Data-Structure and its Components","png","1101027585344"
"png_fixed","CallExpr",107,107,"png_fixed_point","png fixed","","png","1101558722765"
"png_fixed","CallExpr",108,108,"png_fixed_point","png fixed","","png","1102459379626"
"png_fixed","CallExpr",109,109,"png_fixed_point","png fixed","","png","1101636872807"
"png_fixed","CallExpr",110,110,"png_fixed_point","png fixed","","png","1101583152000"
"png_fixed","CallExpr",111,111,"png_fixed_point","png fixed","","png","1100901333636"
"png_fixed","CallExpr",112,112,"png_fixed_point","png fixed","","png","1101111444004"
"png_fixed","CallExpr",113,113,"png_fixed_point","png fixed","","png","1100578721093"
"png_fixed","CallExpr",114,114,"png_fixed_point","png fixed","","png","1103173255427"
"png_set_cHRM_XYZ_fixed","CallExpr",122,131,"void","png set c HRM XYZ fixed","set : Data-Structure and its Components","png","1103931786222"
"png_fixed","CallExpr",123,123,"png_fixed_point","png fixed","","png","1104143467897"
"png_fixed","CallExpr",124,124,"png_fixed_point","png fixed","","png","1102023121912"
"png_fixed","CallExpr",125,125,"png_fixed_point","png fixed","","png","1103063778085"
"png_fixed","CallExpr",126,126,"png_fixed_point","png fixed","","png","1100294559538"
"png_fixed","CallExpr",127,127,"png_fixed_point","png fixed","","png","1103813399076"
"png_fixed","CallExpr",128,128,"png_fixed_point","png fixed","","png","1102496757625"
"png_fixed","CallExpr",129,129,"png_fixed_point","png fixed","","png","1103313019920"
"png_fixed","CallExpr",130,130,"png_fixed_point","png fixed","","png","1100369633368"
"png_fixed","CallExpr",131,131,"png_fixed_point","png fixed","","png","1101957918977"
"png_warning","CallExpr",142,142,"void","png warning","","png","1103263731619"
"png_free","CallExpr",160,160,"void","png free","free : Time Complexity / Space Complexity/ Memory/ Exception","png","1101821484968"
"png_malloc_warn","CallExpr",166,167,"png_voidp","png malloc warn","malloc : Time Complexity / Space Complexity/ Memory/ Exception","png","1103656091872"
"png_warning","CallExpr",171,171,"void","png warning","","png","1103554242204"
"png_colorspace_set_gamma","CallExpr",194,194,"void","png colorspace set gamma","set : Data-Structure and its Components","png | colorspace | gamma","1102253559872"
"png_colorspace_sync_info","CallExpr",195,195,"void","png colorspace sync info","","png | colorspace","1101436462294"
"png_set_gAMA_fixed","CallExpr",202,203,"void","png set g AMA fixed","set : Data-Structure and its Components","png","1103803260981"
"png_fixed","CallExpr",202,203,"png_fixed_point","png fixed","","png","1103915926097"
"png_warning","CallExpr",223,224,"void","png warning","","png","1104189814852"
"png_free_data","CallExpr",229,229,"void","png free data","free : Time Complexity / Space Complexity/ Memory/ Exception | data : Data-Structure and its Components","png","1100240004087"
"png_malloc_warn","CallExpr",234,235,"png_voidp","png malloc warn","malloc : Time Complexity / Space Complexity/ Memory/ Exception","png","1102341446722"
"png_warning","CallExpr",239,239,"void","png warning","","png","1104185147715"
"png_check_IHDR","CallExpr",272,274,"void","png check IHDR","check : Operations as part of Algorithms","png","1102040134462"
"strlen","CallExpr",325,325,"unsigned long","strlen","","","1102057837543"
"png_chunk_report","CallExpr",334,335,"void","png chunk report","","png | chunk","1103202673206"
"png_chunk_report","CallExpr",341,342,"void","png chunk report","","png | chunk","1102570569179"
"png_check_fp_string","CallExpr",350,350,"int","png check fp string","check : Operations as part of Algorithms | string : Data-Structure and its Components","png","1100217381391"
