"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"user_chunk_data","StructDecl",638,645,"struct user_chunk_data","user chunk data","data : Data-Structure and its Components","chunk","2203487008409"
"tIME_chunk_present","VarDecl",124,124,"int","t IME chunk present","","chunk","2200960252314"
"tIME_string","VarDecl",125,125,"char [29]","t IME string","string : Data-Structure and its Components","","2202261061459"
"verbose","VarDecl",144,144,"int","verbose","","","2201397984694"
"strict","VarDecl",145,145,"int","strict","","","2200216978173"
"relaxed","VarDecl",146,146,"int","relaxed","","","2201754302432"
"xfail","VarDecl",147,147,"int","xfail","","","2204250086542"
"unsupported_chunks","VarDecl",148,148,"int","unsupported chunks","","","2203912934297"
"error_count","VarDecl",149,149,"int","error count","error : Time Complexity / Space Complexity/ Memory/ Exception | count : Operations as part of Algorithms","","2201609301096"
"warning_count","VarDecl",150,150,"int","warning count","count : Operations as part of Algorithms","","2201345776584"
"status_pass","VarDecl",169,169,"int","status pass","","","2201769420602"
"status_dots_requested","VarDecl",170,170,"int","status dots requested","","","2201299189230"
"status_dots","VarDecl",171,171,"int","status dots","","","2200588187856"
"zero_samples","VarDecl",226,226,"png_uint_32","zero samples","samples : Data-Structure and its Components","","2204041184547"
"dp","VarDecl",231,231,"png_bytep","dp","","","2203503949322"
"pos","VarDecl",248,248,"int","pos","","","2204206713891"
"n","VarDecl",249,249,"png_uint_32","n","","","2202767388453"
"nstop","VarDecl",249,249,"png_uint_32","nstop","","","2203170697840"
"n","VarDecl",303,303,"png_uint_32","n","","","2202418663935"
"nstop","VarDecl",303,303,"png_uint_32","nstop","","","2202096020497"
"channel","VarDecl",304,304,"int","channel","","channel","2200727630262"
"color_channels","VarDecl",305,305,"int","color channels","","color","2202612249764"
"name","VarDecl",458,458,"const char *","name","","","2201891018367"
"test","VarDecl",459,460,"pngtest_error_parameters *","test","","","2203347266205"
"user_chunk_data","VarDecl",638,646,"struct user_chunk_data","user chunk data","data : Data-Structure and its Components","chunk","2203054755296"
"location","VarDecl",665,665,"int","location","","","2201993864859"
"my_user_chunk_data","VarDecl",694,695,"struct user_chunk_data *","my user chunk data","data : Data-Structure and its Components","chunk","2204074787749"
"sTER","VarDecl",756,756,"png_byte [5]","s TER","","","2201029864266"
"vpAg","VarDecl",767,767,"png_byte [5]","vp Ag","","ag","2200822787916"
"vpag_chunk_data","VarDecl",769,769,"png_byte [9]","vpag chunk data","data : Data-Structure and its Components","chunk","2203151483854"
"i","VarDecl",786,786,"int","i","","","2200387620213"
"fpin","VarDecl",855,855,"png_FILE_p","fpin","","","2201828772795"
"fpout","VarDecl",856,856,"png_FILE_p","fpout","","","2202604891845"
"error_parameters","VarDecl",857,857,"pngtest_error_parameters","error parameters","error : Time Complexity / Space Complexity/ Memory/ Exception | parameters : Data-Structure and its Components","","2202189808233"
"read_ptr","VarDecl",858,858,"png_structp","read ptr","read : Operations as part of Data structure","","2200839741138"
"read_info_ptr","VarDecl",859,859,"png_infop","read info ptr","read : Operations as part of Data structure","","2202310350931"
"end_info_ptr","VarDecl",859,859,"png_infop","end info ptr","end : Time Complexity / Space Complexity/ Memory/ Exception","","2201187632085"
"write_ptr","VarDecl",861,861,"png_structp","write ptr","write : Operations as part of Data structure","","2200807286479"
"write_info_ptr","VarDecl",862,862,"png_infop","write info ptr","write : Operations as part of Data structure","","2203329509096"
"write_end_info_ptr","VarDecl",863,863,"png_infop","write end info ptr","write : Operations as part of Data structure | end : Time Complexity / Space Complexity/ Memory/ Exception","","2202246570270"
"interlace_preserved","VarDecl",865,865,"int","interlace preserved","","","2203026090658"
"row_buf","VarDecl",872,872,"png_bytep","row buf","","","2203228899120"
"y","VarDecl",873,873,"png_uint_32","y","","","2202130329957"
"width","VarDecl",874,874,"png_uint_32","width","","","2201407299552"
"height","VarDecl",874,874,"png_uint_32","height","height : Data-Structure and its Components","","2202807505623"
"num_passes","VarDecl",875,875,"volatile int","num passes","","","2202556090204"
"pass","VarDecl",876,876,"int","pass","","","2202909537551"
"bit_depth","VarDecl",877,877,"int","bit depth","bit : Data-Structure and its Components","depth","2203149861644"
"color_type","VarDecl",877,877,"int","color type","","color","2201427399830"
"interlace_type","VarDecl",1088,1088,"int","interlace type","","","2203821382546"
"compression_type","VarDecl",1088,1088,"int","compression type","","compression","2202025554829"
"filter_type","VarDecl",1088,1088,"int","filter type","","","2201701158221"
"white_x","VarDecl",1120,1120,"png_fixed_point","white x","","","2202588483778"
"white_y","VarDecl",1120,1120,"png_fixed_point","white y","","","2203855252643"
"red_x","VarDecl",1120,1120,"png_fixed_point","red x","","red","2200532231009"
"red_y","VarDecl",1120,1120,"png_fixed_point","red y","","red","2200127005056"
"green_x","VarDecl",1120,1120,"png_fixed_point","green x","","green","2200250974275"
"green_y","VarDecl",1120,1120,"png_fixed_point","green y","","green","2200916350502"
"blue_x","VarDecl",1120,1120,"png_fixed_point","blue x","","blue","2200722551444"
"blue_y","VarDecl",1121,1121,"png_fixed_point","blue y","","blue","2203285605729"
"gamma","VarDecl",1133,1133,"png_fixed_point","gamma","","gamma","2201160135549"
"name","VarDecl",1166,1166,"png_charp","name","","","2202180689408"
"profile","VarDecl",1167,1167,"png_bytep","profile","","profile","2201787822622"
"proflen","VarDecl",1168,1168,"png_uint_32","proflen","","","2203253168484"
"compression_type","VarDecl",1169,1169,"int","compression type","","compression","2201118183932"
"intent","VarDecl",1181,1181,"int","intent","","","2200911059750"
"palette","VarDecl",1188,1188,"png_colorp","palette","","palette","2201533369118"
"num_palette","VarDecl",1189,1189,"int","num palette","","palette","2201487782875"
"background","VarDecl",1196,1196,"png_color_16p","background","","background","2202404189892"
"exif","VarDecl",1206,1206,"png_bytep","exif","","exif","2203573103851"
"exif_length","VarDecl",1207,1207,"png_uint_32","exif length","length : Operations as part of Algorithms","exif","2200749092100"
"hist","VarDecl",1222,1222,"png_uint_16p","hist","","hist","2200214236731"
"offset_x","VarDecl",1230,1230,"png_int_32","offset x","offset : Properties of Datastructure / Function / Blocks","","2203656753423"
"offset_y","VarDecl",1230,1230,"png_int_32","offset y","offset : Properties of Datastructure / Function / Blocks","","2200749279072"
"unit_type","VarDecl",1231,1231,"int","unit type","","unit","2200837475334"
"purpose","VarDecl",1242,1242,"png_charp","purpose","","","2203418813471"
"units","VarDecl",1242,1242,"png_charp","units","","","2203193519634"
"params","VarDecl",1243,1243,"png_charpp","params","","","2203119287962"
"X0","VarDecl",1244,1244,"png_int_32","X0","","","2200851792015"
