"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"transformations","MemberRefExpr",28,28,"png_uint_32","transformations","","","1203942092125"
"bit_depth","MemberRefExpr",42,42,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1201586961915"
"transformations","MemberRefExpr",43,43,"png_uint_32","transformations","","","1202386097754"
"bit_depth","MemberRefExpr",57,57,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1200411609500"
"transformations","MemberRefExpr",59,59,"png_uint_32","transformations","","","1201371464955"
"usr_bit_depth","MemberRefExpr",61,61,"png_byte","usr bit depth","bit : Data-Structure and its Components","depth","1200797917615"
"bit_depth","MemberRefExpr",77,77,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1202626441043"
"transformations","MemberRefExpr",78,78,"png_uint_32","transformations","","","1203853832315"
"transformations","MemberRefExpr",91,91,"png_uint_32","transformations","","","1203340009524"
"shift","MemberRefExpr",92,92,"png_color_8","shift","","","1202140963926"
"interlaced","MemberRefExpr",103,103,"png_byte","interlaced","","interlaced","1202840895751"
"transformations","MemberRefExpr",105,105,"png_uint_32","transformations","","","1203148167361"
"mode","MemberRefExpr",130,130,"png_uint_32","mode","mode : Operations as part of Data structure","","1202151069125"
"filler","MemberRefExpr",141,141,"png_uint_16","filler","","filler","1202518073211"
"color_type","MemberRefExpr",155,155,"png_byte","color type","","color","1202804274685"
"usr_channels","MemberRefExpr",158,158,"png_byte","usr channels","","","1201003966250"
"bit_depth","MemberRefExpr",162,162,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1203407245758"
"usr_channels","MemberRefExpr",164,164,"png_byte","usr channels","","","1200447306350"
"transformations","MemberRefExpr",194,194,"png_uint_32","transformations","","","1202125056231"
"flags","MemberRefExpr",197,197,"png_uint_32","flags","","","1202249259779"
"flags","MemberRefExpr",200,200,"png_uint_32","flags","","","1200834564279"
"transformations","MemberRefExpr",214,214,"png_uint_32","transformations","","","1200293774126"
"transformations","MemberRefExpr",215,215,"png_uint_32","transformations","","","1200837550139"
"transformations","MemberRefExpr",230,230,"png_uint_32","transformations","","","1200444819962"
"transformations","MemberRefExpr",244,244,"png_uint_32","transformations","","","1201510357348"
"transformations","MemberRefExpr",257,257,"png_uint_32","transformations","","","1203436377708"
"color_type","MemberRefExpr",269,269,"png_byte","color type","","color","1202648860585"
"rowbytes","MemberRefExpr",273,273,"size_t","rowbytes","","","1202761971813"
"color_type","MemberRefExpr",282,282,"png_byte","color type","","color","1202854540710"
"bit_depth","MemberRefExpr",283,283,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1202549745154"
"rowbytes","MemberRefExpr",287,287,"size_t","rowbytes","","","1201633814996"
"color_type","MemberRefExpr",297,297,"png_byte","color type","","color","1203572334226"
"bit_depth","MemberRefExpr",298,298,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1202263487084"
"rowbytes","MemberRefExpr",302,302,"size_t","rowbytes","","","1201468296232"
"bit_depth","MemberRefExpr",323,323,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1203424600442"
"width","MemberRefExpr",327,327,"png_uint_32","width","","","1202071228766"
"channels","MemberRefExpr",327,327,"png_byte","channels","","","1202531019242"
"bit_depth","MemberRefExpr",459,459,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1202416837152"
"rowbytes","MemberRefExpr",464,464,"size_t","rowbytes","","","1203713526711"
"bit_depth","MemberRefExpr",466,466,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1200246298436"
"bit_depth","MemberRefExpr",469,469,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1203434452063"
"bit_depth","MemberRefExpr",472,472,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1201773447451"
"rowbytes","MemberRefExpr",499,499,"size_t","rowbytes","","","1200287323693"
"channels","MemberRefExpr",510,510,"png_byte","channels","","","1201164894403"
"bit_depth","MemberRefExpr",512,512,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1201253830058"
"pixel_depth","MemberRefExpr",527,527,"png_byte","pixel depth","","pixel | depth","1201005544090"
"bit_depth","MemberRefExpr",530,530,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1201855664699"
"pixel_depth","MemberRefExpr",544,544,"png_byte","pixel depth","","pixel | depth","1200107963420"
"channels","MemberRefExpr",550,550,"png_byte","channels","","","1201931378775"
"color_type","MemberRefExpr",553,553,"png_byte","color type","","color","1200223217896"
"color_type","MemberRefExpr",554,554,"png_byte","color type","","color","1204091157560"
"channels","MemberRefExpr",558,558,"png_byte","channels","","","1203272242452"
"bit_depth","MemberRefExpr",560,560,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1201691108789"
"pixel_depth","MemberRefExpr",575,575,"png_byte","pixel depth","","pixel | depth","1202548096633"
"bit_depth","MemberRefExpr",578,578,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1203008282815"
"pixel_depth","MemberRefExpr",595,595,"png_byte","pixel depth","","pixel | depth","1200866279374"
"channels","MemberRefExpr",601,601,"png_byte","channels","","","1201166038747"
"color_type","MemberRefExpr",604,604,"png_byte","color type","","color","1202599305025"
"color_type","MemberRefExpr",605,605,"png_byte","color type","","color","1200615724584"
"rowbytes","MemberRefExpr",612,612,"size_t","rowbytes","","","1200512513322"
"color_type","MemberRefExpr",623,623,"png_byte","color type","","color","1203050643919"
"width","MemberRefExpr",625,625,"png_uint_32","width","","","1204042437878"
"bit_depth","MemberRefExpr",626,626,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1203383947600"
"color_type","MemberRefExpr",628,628,"png_byte","color type","","color","1202726843624"
"color_type","MemberRefExpr",641,641,"png_byte","color type","","color","1204150708780"
"bit_depth","MemberRefExpr",656,656,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1200128308684"
"color_type","MemberRefExpr",658,658,"png_byte","color type","","color","1201610037119"
"color_type","MemberRefExpr",674,674,"png_byte","color type","","color","1200167292281"
"num_palette","MemberRefExpr",701,701,"png_uint_16","num palette","","palette","1202692965489"
"bit_depth","MemberRefExpr",701,701,"png_byte","bit depth","bit : Data-Structure and its Components","depth","1200116447637"
"num_palette","MemberRefExpr",702,702,"png_uint_16","num palette","","palette","1201179546077"
"pixel_depth","MemberRefExpr",710,710,"png_byte","pixel depth","","pixel | depth","1204214223312"
"width","MemberRefExpr",710,710,"png_uint_32","width","","","1203846844584"
"row_buf","MemberRefExpr",711,711,"png_bytep","row buf","","","1200980325442"
"rowbytes","MemberRefExpr",711,711,"size_t","rowbytes","","","1202397309812"
