"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"pngpriv.h","inclusionDirective",21,21,"","pngpriv.h","","","1301672835522"
"check","VarDecl",53,53,"size_t","check","check : Operations as part of Algorithms","","1303022025356"
"io_ptr","VarDecl",81,81,"png_FILE_p","io ptr","","","1303825470365"
"png_ptr","DeclRefExpr",36,36,"png_structrp","png ptr","","png","1301953540321"
"png_ptr","DeclRefExpr",37,37,"png_structrp","png ptr","","png","1303304868981"
"png_ptr","DeclRefExpr",37,37,"png_structrp","png ptr","","png","1300698114399"
"data","DeclRefExpr",37,37,"png_const_bytep","data","data : Data-Structure and its Components","","1301572877206"
"length","DeclRefExpr",38,38,"size_t","length","length : Operations as part of Algorithms","","1301902918947"
"png_error","DeclRefExpr",41,41,"void (png_const_structrp, png_const_charp) __attribute__((noreturn))","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1300700083953"
"png_ptr","DeclRefExpr",41,41,"png_structrp","png ptr","","png","1301921933411"
"png_ptr","DeclRefExpr",55,55,"png_structp","png ptr","","png","1302843152530"
"check","DeclRefExpr",58,58,"size_t","check","check : Operations as part of Algorithms","","1301626064951"
"fwrite","DeclRefExpr",58,58,"unsigned long (const void *, unsigned long, unsigned long, FILE *)","fwrite","","","1303002564287"
"data","DeclRefExpr",58,58,"png_bytep","data","data : Data-Structure and its Components","","1303389366653"
"length","DeclRefExpr",58,58,"size_t","length","length : Operations as part of Algorithms","","1302312707556"
"png_ptr","DeclRefExpr",58,58,"png_structp","png ptr","","png","1302189847872"
"check","DeclRefExpr",60,60,"size_t","check","check : Operations as part of Algorithms","","1302713873171"
"length","DeclRefExpr",60,60,"size_t","length","length : Operations as part of Algorithms","","1300670581901"
"png_error","DeclRefExpr",61,61,"void (png_const_structrp, png_const_charp) __attribute__((noreturn))","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1302529637013"
"png_ptr","DeclRefExpr",61,61,"png_structp","png ptr","","png","1302689333565"
"png_ptr","DeclRefExpr",73,73,"png_structrp","png ptr","","png","1301155712034"
"png_ptr","DeclRefExpr",74,74,"png_structrp","png ptr","","png","1300760157938"
"png_ptr","DeclRefExpr",74,74,"png_structrp","png ptr","","png","1304277854953"
"png_ptr","DeclRefExpr",83,83,"png_structp","png ptr","","png","1303735870790"
"io_ptr","DeclRefExpr",86,86,"png_FILE_p","io ptr","","","1300634977251"
"png_ptr","DeclRefExpr",86,86,"png_structp","png ptr","","png","1304271701151"
"fflush","DeclRefExpr",87,87,"int (FILE *)","fflush","","","1303678255270"
"io_ptr","DeclRefExpr",87,87,"png_FILE_p","io ptr","","","1303532661440"
"png_ptr","DeclRefExpr",125,125,"png_structrp","png ptr","","png","1303555316947"
"png_ptr","DeclRefExpr",128,128,"png_structrp","png ptr","","png","1300087093025"
"io_ptr","DeclRefExpr",128,128,"png_voidp","io ptr","","","1304190275362"
"write_data_fn","DeclRefExpr",131,131,"png_rw_ptr","write data fn","write : Operations as part of Data structure | data : Data-Structure and its Components","","1304216671987"
"png_ptr","DeclRefExpr",132,132,"png_structrp","png ptr","","png","1303428784389"
"write_data_fn","DeclRefExpr",132,132,"png_rw_ptr","write data fn","write : Operations as part of Data structure | data : Data-Structure and its Components","","1303095500566"
"png_ptr","DeclRefExpr",135,135,"png_structrp","png ptr","","png","1303469973101"
"png_default_write_data","DeclRefExpr",135,135,"void (png_structp, png_bytep, size_t)","png default write data","default : Properties of Datastructure / Function / Blocks | write : Operations as part of Data structure | data : Data-Structure and its Components","png","1303697331786"
"output_flush_fn","DeclRefExpr",143,143,"png_flush_ptr","output flush fn","output : Data-Structure and its Components","","1303106767567"
"png_ptr","DeclRefExpr",144,144,"png_structrp","png ptr","","png","1303420629330"
"output_flush_fn","DeclRefExpr",144,144,"png_flush_ptr","output flush fn","output : Data-Structure and its Components","","1302882488006"
"png_ptr","DeclRefExpr",147,147,"png_structrp","png ptr","","png","1303201352328"
"png_default_flush","DeclRefExpr",147,147,"void (png_structp)","png default flush","default : Properties of Datastructure / Function / Blocks","png","1300029215653"
"png_ptr","DeclRefExpr",158,158,"png_structrp","png ptr","","png","1302552874035"
"png_ptr","DeclRefExpr",160,160,"png_structrp","png ptr","","png","1301701724526"
"png_warning","DeclRefExpr",162,162,"void (png_const_structrp, png_const_charp)","png warning","","png","1302314012233"
