"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"pngpriv.h","inclusionDirective",14,14,"","pngpriv.h","","","1400907139997"
"info_ptr","DeclRefExpr",27,27,"png_const_inforp","info ptr","","","1403130019953"
"up","DeclRefExpr",33,33,"png_const_unknown_chunkp","up","","","1400663758447"
"info_ptr","DeclRefExpr",33,33,"png_const_inforp","info ptr","","","1402120429003"
"up","DeclRefExpr",34,34,"png_const_unknown_chunkp","up","","","1402093326573"
"info_ptr","DeclRefExpr",34,34,"png_const_inforp","info ptr","","","1401881616380"
"info_ptr","DeclRefExpr",34,34,"png_const_inforp","info ptr","","","1402373693353"
"up","DeclRefExpr",35,35,"png_const_unknown_chunkp","up","","","1401770277678"
"up","DeclRefExpr",36,36,"png_const_unknown_chunkp","up","","","1401916335190"
"where","DeclRefExpr",36,36,"unsigned int","where","","","1403885914204"
"png_handle_as_unknown","DeclRefExpr",42,42,"int (png_const_structrp, png_const_bytep)","png handle as unknown","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","1401654078678"
"png_ptr","DeclRefExpr",42,42,"png_structrp","png ptr","","png","1401162168995"
"up","DeclRefExpr",42,42,"png_const_unknown_chunkp","up","","","1403293304565"
"keep","DeclRefExpr",56,56,"int","keep","","","1401377787705"
"up","DeclRefExpr",57,57,"png_const_unknown_chunkp","up","","","1400742471027"
"keep","DeclRefExpr",58,58,"int","keep","","","1402814932442"
"keep","DeclRefExpr",59,59,"int","keep","","","1404139249090"
"png_ptr","DeclRefExpr",60,60,"png_structrp","png ptr","","png","1401988712396"
"up","DeclRefExpr",64,64,"png_const_unknown_chunkp","up","","","1403546767410"
"png_warning","DeclRefExpr",65,65,"void (png_const_structrp, png_const_charp)","png warning","","png","1401613986123"
"png_ptr","DeclRefExpr",65,65,"png_structrp","png ptr","","png","1402541466903"
"png_write_chunk","DeclRefExpr",67,67,"void (png_structrp, png_const_bytep, png_const_bytep, size_t)","png write chunk","write : Operations as part of Data structure","png | chunk","1400522868021"
"png_ptr","DeclRefExpr",67,67,"png_structrp","png ptr","","png","1403472901421"
"up","DeclRefExpr",67,67,"png_const_unknown_chunkp","up","","","1402056272645"
"up","DeclRefExpr",67,67,"png_const_unknown_chunkp","up","","","1402319687732"
"up","DeclRefExpr",67,67,"png_const_unknown_chunkp","up","","","1400746659533"
"png_ptr","DeclRefExpr",88,88,"png_structrp","png ptr","","png","1402590942113"
"info_ptr","DeclRefExpr",88,88,"png_const_inforp","info ptr","","","1402556962504"
"png_ptr","DeclRefExpr",91,91,"png_structrp","png ptr","","png","1402958879081"
"png_write_sig","DeclRefExpr",94,94,"void (png_structrp)","png write sig","write : Operations as part of Data structure","png","1400653424412"
"png_ptr","DeclRefExpr",94,94,"png_structrp","png ptr","","png","1401232249659"
"png_ptr","DeclRefExpr",97,97,"png_structrp","png ptr","","png","1402997770281"
"png_ptr","DeclRefExpr",98,98,"png_structrp","png ptr","","png","1401240245248"
"png_warning","DeclRefExpr",100,100,"void (png_const_structrp, png_const_charp)","png warning","","png","1400532727221"
"png_ptr","DeclRefExpr",100,100,"png_structrp","png ptr","","png","1401564142650"
"png_ptr","DeclRefExpr",102,102,"png_structrp","png ptr","","png","1404121285953"
"png_write_IHDR","DeclRefExpr",107,107,"void (png_structrp, png_uint_32, png_uint_32, int, int, int, int, int)","png write IHDR","write : Operations as part of Data structure","png","1400076710633"
"png_ptr","DeclRefExpr",107,107,"png_structrp","png ptr","","png","1401811532596"
"info_ptr","DeclRefExpr",107,107,"png_const_inforp","info ptr","","","1402628161826"
"info_ptr","DeclRefExpr",107,107,"png_const_inforp","info ptr","","","1401008627434"
"info_ptr","DeclRefExpr",108,108,"png_const_inforp","info ptr","","","1400830794873"
"info_ptr","DeclRefExpr",108,108,"png_const_inforp","info ptr","","","1402390182058"
"info_ptr","DeclRefExpr",108,108,"png_const_inforp","info ptr","","","1404162295137"
"info_ptr","DeclRefExpr",109,109,"png_const_inforp","info ptr","","","1402585727157"
"info_ptr","DeclRefExpr",111,111,"png_const_inforp","info ptr","","","1400071924843"
"info_ptr","DeclRefExpr",133,133,"png_const_inforp","info ptr","","","1402834833998"
"info_ptr","DeclRefExpr",134,134,"png_const_inforp","info ptr","","","1400976345582"
"info_ptr","DeclRefExpr",135,135,"png_const_inforp","info ptr","","","1402287114474"
"png_write_gAMA_fixed","DeclRefExpr",136,136,"void (png_structrp, png_fixed_point)","png write g AMA fixed","write : Operations as part of Data structure","png","1400925363104"
"png_ptr","DeclRefExpr",136,136,"png_structrp","png ptr","","png","1402481595566"
"info_ptr","DeclRefExpr",136,136,"png_const_inforp","info ptr","","","1401282629244"
"info_ptr","DeclRefExpr",145,145,"png_const_inforp","info ptr","","","1402468920245"
"info_ptr","DeclRefExpr",146,146,"png_const_inforp","info ptr","","","1401663426649"
"info_ptr","DeclRefExpr",149,149,"png_const_inforp","info ptr","","","1401209048741"
"png_app_warning","DeclRefExpr",150,150,"void (png_const_structrp, png_const_charp)","png app warning","","png | app","1402384477759"
"png_ptr","DeclRefExpr",150,150,"png_structrp","png ptr","","png","1403266050206"
"png_write_iCCP","DeclRefExpr",154,154,"void (png_structrp, png_const_charp, png_const_bytep)","png write i CCP","write : Operations as part of Data structure","png","1401598302926"
"png_ptr","DeclRefExpr",154,154,"png_structrp","png ptr","","png","1404008641689"
"info_ptr","DeclRefExpr",154,154,"png_const_inforp","info ptr","","","1403050455591"
"info_ptr","DeclRefExpr",155,155,"png_const_inforp","info ptr","","","1402545888146"
"info_ptr","DeclRefExpr",163,163,"png_const_inforp","info ptr","","","1401006232003"
"info_ptr","DeclRefExpr",164,164,"png_const_inforp","info ptr","","","1402380633544"
"png_write_sRGB","DeclRefExpr",165,165,"void (png_structrp, int)","png write s RGB","write : Operations as part of Data structure","png | rgb","1402167960310"
"png_ptr","DeclRefExpr",165,165,"png_structrp","png ptr","","png","1402795647171"
"info_ptr","DeclRefExpr",165,165,"png_const_inforp","info ptr","","","1403501764354"
"info_ptr","DeclRefExpr",170,170,"png_const_inforp","info ptr","","","1402398701748"
"png_write_sBIT","DeclRefExpr",171,171,"void (png_structrp, png_const_color_8p, int)","png write s BIT","write : Operations as part of Data structure | bit : Data-Structure and its Components","png","1403237721769"
