"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"pngpriv.h","inclusionDirective",14,14,"","pngpriv.h","","","1500485297963"
"row_info","DeclRefExpr",29,29,"png_row_infop","row info","","","1504027532372"
"row_info","DeclRefExpr",30,30,"png_row_infop","row info","","","1501759700310"
"bit_depth","DeclRefExpr",32,32,"png_uint_32","bit depth","bit : Data-Structure and its Components","depth","1503549557137"
"row_info","DeclRefExpr",39,39,"png_row_infop","row info","","","1500683855230"
"sp","DeclRefExpr",41,41,"png_bytep","sp","","","1502589390441"
"row","DeclRefExpr",41,41,"png_bytep","row","","","1503203158863"
"dp","DeclRefExpr",42,42,"png_bytep","dp","","","1503025319941"
"row","DeclRefExpr",42,42,"png_bytep","row","","","1503351195986"
"mask","DeclRefExpr",43,43,"int","mask","","","1500906449210"
"v","DeclRefExpr",44,44,"int","v","","","1501965542077"
"i","DeclRefExpr",46,46,"png_uint_32","i","","","1501531972999"
"i","DeclRefExpr",46,46,"png_uint_32","i","","","1504026461483"
"row_width","DeclRefExpr",46,46,"png_uint_32","row width","","","1500246537001"
"i","DeclRefExpr",46,46,"png_uint_32","i","","","1503095834460"
"sp","DeclRefExpr",48,48,"png_bytep","sp","","","1500953450666"
"v","DeclRefExpr",49,49,"int","v","","","1500702609015"
"mask","DeclRefExpr",49,49,"int","mask","","","1503565873334"
"sp","DeclRefExpr",51,51,"png_bytep","sp","","","1502045568147"
"mask","DeclRefExpr",53,53,"int","mask","","","1501594139183"
"mask","DeclRefExpr",54,54,"int","mask","","","1502981476966"
"mask","DeclRefExpr",58,58,"int","mask","","","1500822734116"
"dp","DeclRefExpr",59,59,"png_bytep","dp","","","1500882380582"
"v","DeclRefExpr",59,59,"int","v","","","1503401121954"
"dp","DeclRefExpr",60,60,"png_bytep","dp","","","1502602982895"
"v","DeclRefExpr",61,61,"int","v","","","1504232749183"
"mask","DeclRefExpr",65,65,"int","mask","","","1502588752015"
"dp","DeclRefExpr",66,66,"png_bytep","dp","","","1502466870279"
"v","DeclRefExpr",66,66,"int","v","","","1503843143547"
"row_info","DeclRefExpr",77,77,"png_row_infop","row info","","","1502703854681"
"sp","DeclRefExpr",79,79,"png_bytep","sp","","","1503060482145"
"row","DeclRefExpr",79,79,"png_bytep","row","","","1504290323411"
