"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"png_write_data","CallExpr",61,62,"void","png write data","write : Operations as part of Data structure | data : Data-Structure and its Components","png","1601570192005"
"png_save_uint_32","CallExpr",94,94,"void","png save uint 32","","png","1602906888444"
"png_save_uint_32","CallExpr",95,95,"void","png save uint 32","","png","1601517742744"
"png_write_data","CallExpr",96,96,"void","png write data","write : Operations as part of Data structure | data : Data-Structure and its Components","png","1601913079942"
"png_reset_crc","CallExpr",102,102,"void","png reset crc","reset : Operations as part of Algorithms","png | crc","1603456518031"
"png_calculate_crc","CallExpr",104,104,"void","png calculate crc","","png | crc","1601882080674"
"png_write_chunk_header","CallExpr",118,118,"void","png write chunk header","write : Operations as part of Data structure","png | chunk","1600547098468"
"png_write_data","CallExpr",135,135,"void","png write data","write : Operations as part of Data structure | data : Data-Structure and its Components","png","1600637982466"
"png_calculate_crc","CallExpr",140,140,"void","png calculate crc","","png | crc","1600877540715"
"png_save_uint_32","CallExpr",160,160,"void","png save uint 32","","png","1600012553460"
"png_write_data","CallExpr",162,162,"void","png write data","write : Operations as part of Data structure | data : Data-Structure and its Components","png","1601445009281"
"png_error","CallExpr",183,183,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1600779767269"
"png_write_chunk_header","CallExpr",185,185,"void","png write chunk header","write : Operations as part of Data structure","png | chunk","1603057346332"
"png_write_chunk_data","CallExpr",186,186,"void","png write chunk data","write : Operations as part of Data structure | data : Data-Structure and its Components","png | chunk","1600497393561"
"png_write_chunk_end","CallExpr",187,187,"void","png write chunk end","write : Operations as part of Data structure | end : Time Complexity / Space Complexity/ Memory/ Exception","png | chunk","1602505662007"
"png_write_complete_chunk","CallExpr",195,196,"void","png write complete chunk","write : Operations as part of Data structure | complete : Properties of Datastructure / Function / Blocks","png | chunk","1603831671696"
"png_safecat","CallExpr",308,308,"size_t","png safecat","","png","1602667388533"
"png_error","CallExpr",322,322,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1602310667548"
"deflateEnd","CallExpr",395,395,"int","deflate End","end : Time Complexity / Space Complexity/ Memory/ Exception","","1603445475262"
"png_warning","CallExpr",396,396,"void","png warning","","png","1600982386165"
"deflateReset","CallExpr",413,413,"int","deflate Reset","reset : Operations as part of Algorithms","","1602537977704"
"deflateInit2_","CallExpr",417,418,"int","deflate Init2","","","1603952049431"
"png_zstream_error","CallExpr",431,431,"void","png zstream error","error : Time Complexity / Space Complexity/ Memory/ Exception","png | zstream","1600389166531"
"png_free","CallExpr",451,451,"void","png free","free : Time Complexity / Space Complexity/ Memory/ Exception","png","1602101108547"
"png_deflate_claim","CallExpr",503,503,"int","png deflate claim","","png","1604161763953"
"png_malloc_base","CallExpr",557,558,"png_voidp","png malloc base","malloc : Time Complexity / Space Complexity/ Memory/ Exception | base : Properties of Datastructure / Function / Blocks","png","1600121287700"
"deflate","CallExpr",580,581,"int","deflate","","","1603483373955"
"png_zstream_error","CallExpr",609,609,"void","png zstream error","error : Time Complexity / Space Complexity/ Memory/ Exception","png | zstream","1603399970889"
"optimize_cmf","CallExpr",621,621,"void","optimize cmf","","cmf","1602366062795"
"png_write_chunk_data","CallExpr",649,649,"void","png write chunk data","write : Operations as part of Data structure | data : Data-Structure and its Components","png | chunk","1600970817520"
"png_error","CallExpr",663,663,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1601248074535"
"png_error","CallExpr",697,698,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1601249048253"
"png_error","CallExpr",708,708,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1601764026724"
"png_error","CallExpr",724,724,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1600536173973"
"png_error","CallExpr",734,734,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1602267370218"
"png_error","CallExpr",745,745,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1601846410225"
"png_error","CallExpr",751,751,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1600686213354"
"png_warning","CallExpr",756,756,"void","png warning","","png","1600928735961"
"png_warning","CallExpr",779,779,"void","png warning","","png","1601544948696"
"png_warning","CallExpr",787,787,"void","png warning","","png","1600957883945"
"png_save_uint_32","CallExpr",813,813,"void","png save uint 32","","png","1601004524043"
"png_save_uint_32","CallExpr",814,814,"void","png save uint 32","","png","1601986963434"
"png_write_complete_chunk","CallExpr",822,822,"void","png write complete chunk","write : Operations as part of Data structure | complete : Properties of Datastructure / Function / Blocks","png | chunk","1601483582418"
"png_error","CallExpr",862,862,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1602650381984"
"png_warning","CallExpr",867,867,"void","png warning","","png","1600587018395"
"png_warning","CallExpr",874,875,"void","png warning","","png","1603261426738"
"png_write_chunk_header","CallExpr",883,883,"void","png write chunk header","write : Operations as part of Data structure","png | chunk","1601001049969"
"png_write_chunk_data","CallExpr",891,891,"void","png write chunk data","write : Operations as part of Data structure | data : Data-Structure and its Components","png | chunk","1601732738510"
"png_write_chunk_end","CallExpr",909,909,"void","png write chunk end","write : Operations as part of Data structure | end : Time Complexity / Space Complexity/ Memory/ Exception","png | chunk","1602929396699"
"png_malloc","CallExpr",944,944,"png_voidp","png malloc","malloc : Time Complexity / Space Complexity/ Memory/ Exception","png","1603112497638"
"png_free_buffer_list","CallExpr",949,949,"void","png free buffer list","free : Time Complexity / Space Complexity/ Memory/ Exception | buffer : Time Complexity / Space Complexity/ Memory/ Exception | list : Data-Structure and its Components","png","1602988025093"
"png_deflate_claim","CallExpr",952,952,"int","png deflate claim","","png","1601556382366"
"png_image_size","CallExpr",952,952,"png_alloc_size_t","png image size","size : Data-Structure and its Components","png | image","1600328700144"
"png_error","CallExpr",953,953,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1603357506513"
"deflate","CallExpr",981,981,"int","deflate","","","1600462184954"
"optimize_cmf","CallExpr",1002,1002,"void","optimize cmf","","cmf","1602412731328"
"png_image_size","CallExpr",1002,1002,"png_alloc_size_t","png image size","size : Data-Structure and its Components","png | image","1601123889291"
"png_write_complete_chunk","CallExpr",1006,1006,"void","png write complete chunk","write : Operations as part of Data structure | complete : Properties of Datastructure / Function / Blocks","png | chunk","1603669065250"
"png_error","CallExpr",1032,1032,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1600107280591"
"optimize_cmf","CallExpr",1049,1049,"void","optimize cmf","","cmf","1602514952867"
"png_image_size","CallExpr",1049,1049,"png_alloc_size_t","png image size","size : Data-Structure and its Components","png | image","1602093708246"
"png_write_complete_chunk","CallExpr",1053,1053,"void","png write complete chunk","write : Operations as part of Data structure | complete : Properties of Datastructure / Function / Blocks","png | chunk","1600322587279"
"png_zstream_error","CallExpr",1065,1065,"void","png zstream error","error : Time Complexity / Space Complexity/ Memory/ Exception","png | zstream","1602769590020"
"png_error","CallExpr",1066,1066,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1600619301902"
"png_write_complete_chunk","CallExpr",1077,1077,"void","png write complete chunk","write : Operations as part of Data structure | complete : Properties of Datastructure / Function / Blocks","png | chunk","1602867486769"
"png_save_uint_32","CallExpr",1091,1091,"void","png save uint 32","","png","1601123109116"
"png_write_complete_chunk","CallExpr",1092,1092,"void","png write complete chunk","write : Operations as part of Data structure | complete : Properties of Datastructure / Function / Blocks","png | chunk","1601868320690"
"png_warning","CallExpr",1106,1107,"void","png warning","","png","1602663007346"
"png_write_complete_chunk","CallExpr",1110,1110,"void","png write complete chunk","write : Operations as part of Data structure | complete : Properties of Datastructure / Function / Blocks","png | chunk","1603679651387"
"png_error","CallExpr",1132,1132,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1602188232421"
"png_error","CallExpr",1137,1137,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1602864234540"
"png_error","CallExpr",1141,1141,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1603719297252"
"png_error","CallExpr",1147,1147,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1600223773626"
"png_check_keyword","CallExpr",1150,1150,"png_uint_32","png check keyword","check : Operations as part of Algorithms","png","1601100979613"
"png_error","CallExpr",1153,1153,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1602588914375"
"png_text_compress_init","CallExpr",1160,1160,"void","png text compress init","init : Properties of Datastructure / Function / Blocks","png | text | compress","1600558366505"
"png_text_compress","CallExpr",1163,1163,"int","png text compress","","png | text | compress","1602057885601"
"png_error","CallExpr",1164,1164,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1603700582884"
"png_write_chunk_header","CallExpr",1166,1166,"void","png write chunk header","write : Operations as part of Data structure","png | chunk","1602749955755"
"png_write_chunk_data","CallExpr",1168,1168,"void","png write chunk data","write : Operations as part of Data structure | data : Data-Structure and its Components","png | chunk","1601459761969"
"png_write_compressed_data_out","CallExpr",1170,1170,"void","png write compressed data out","write : Operations as part of Data structure | data : Data-Structure and its Components | out : Properties of Datastructure / Function / Blocks","png | compressed","1604077220273"
"png_write_chunk_end","CallExpr",1172,1172,"void","png write chunk end","write : Operations as part of Data structure | end : Time Complexity / Space Complexity/ Memory/ Exception","png | chunk","1602083079753"
"png_check_keyword","CallExpr",1193,1193,"png_uint_32","png check keyword","check : Operations as part of Algorithms","png","1602248874406"
"png_error","CallExpr",1196,1196,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1604249851999"
"png_write_chunk_header","CallExpr",1199,1200,"void","png write chunk header","write : Operations as part of Data structure","png | chunk","1602281801949"
"png_write_chunk_data","CallExpr",1202,1202,"void","png write chunk data","write : Operations as part of Data structure | data : Data-Structure and its Components","png | chunk","1602340000579"
"png_write_chunk_data","CallExpr",1204,1204,"void","png write chunk data","write : Operations as part of Data structure | data : Data-Structure and its Components","png | chunk","1601158826713"
"png_save_uint_16","CallExpr",1216,1216,"void","png save uint 16","","png","1601907800626"
"png_save_uint_16","CallExpr",1221,1221,"void","png save uint 16","","png","1601112688743"
"png_save_uint_16","CallExpr",1222,1222,"void","png save uint 16","","png","1600883772368"
"png_save_uint_16","CallExpr",1223,1223,"void","png save uint 16","","png","1601963655354"
"png_save_uint_16","CallExpr",1224,1224,"void","png save uint 16","","png","1602091977499"
"png_save_uint_16","CallExpr",1225,1225,"void","png save uint 16","","png","1602425778570"
"png_write_chunk_data","CallExpr",1228,1228,"void","png write chunk data","write : Operations as part of Data structure | data : Data-Structure and its Components","png | chunk","1602583282851"
"png_write_chunk_end","CallExpr",1256,1256,"void","png write chunk end","write : Operations as part of Data structure | end : Time Complexity / Space Complexity/ Memory/ Exception","png | chunk","1601104281796"
"png_warning","CallExpr",1282,1282,"void","png warning","","png","1600078678137"
"png_warning","CallExpr",1296,1296,"void","png warning","","png","1602658336484"
"png_warning","CallExpr",1308,1308,"void","png warning","","png","1603504703904"
"png_write_complete_chunk","CallExpr",1315,1315,"void","png write complete chunk","write : Operations as part of Data structure | complete : Properties of Datastructure / Function / Blocks","png | chunk","1601620847515"
"png_save_int_32","CallExpr",1329,1329,"void","png save int 32","int : Properties of Datastructure / Function / Blocks","png","1600806556646"
"png_save_int_32","CallExpr",1330,1330,"void","png save int 32","int : Properties of Datastructure / Function / Blocks","png","1600885774922"
"png_save_int_32","CallExpr",1332,1332,"void","png save int 32","int : Properties of Datastructure / Function / Blocks","png","1602812162036"
"png_save_int_32","CallExpr",1333,1333,"void","png save int 32","int : Properties of Datastructure / Function / Blocks","png","1601658478077"
"png_save_int_32","CallExpr",1335,1335,"void","png save int 32","int : Properties of Datastructure / Function / Blocks","png","1600284383783"
"png_save_int_32","CallExpr",1336,1336,"void","png save int 32","int : Properties of Datastructure / Function / Blocks","png","1603262695678"
"png_save_int_32","CallExpr",1338,1338,"void","png save int 32","int : Properties of Datastructure / Function / Blocks","png","1601181456554"
"png_save_int_32","CallExpr",1339,1339,"void","png save int 32","int : Properties of Datastructure / Function / Blocks","png","1603175117080"
"png_write_complete_chunk","CallExpr",1341,1341,"void","png write complete chunk","write : Operations as part of Data structure | complete : Properties of Datastructure / Function / Blocks","png | chunk","1600131358386"
"png_app_warning","CallExpr",1359,1360,"void","png app warning","","png | app","1602022289947"
